gold_id,conversation_id,evidence_supported,support_score,supported_claims,unsupported_claims,judge_reason,judge_success
137,apple_1971339_19670,False,3,General advice,Specific menu action,Retrieval similarity was moderate; guidance combines supported steps with general advice.,True
138,apple_2888385_28012,True,5,Polite inquiry or specialist handoff,,Response does not assert unsupported factual claims.,True
139,apple_1596085_15607,True,5,Polite inquiry or specialist handoff,,Response does not assert unsupported factual claims.,True
140,apple_2308420_23064,True,5,Standard troubleshooting guidance from Apple Support interaction,,All concrete guidance steps are directly corroborated by historical evidence.,True
141,apple_299026_2845,True,5,Polite inquiry or specialist handoff,,Response does not assert unsupported factual claims.,True
142,apple_1635185_16061,True,5,Polite inquiry or specialist handoff,,Response does not assert unsupported factual claims.,True
143,apple_2238185_21770,True,5,Polite inquiry or specialist handoff,,Response does not assert unsupported factual claims.,True
144,apple_559132_5481,True,5,Polite inquiry or specialist handoff,,Response does not assert unsupported factual claims.,True
145,apple_2253474_21848,True,5,Polite inquiry or specialist handoff,,Response does not assert unsupported factual claims.,True
146,apple_652942_8859,True,5,Standard troubleshooting guidance from Apple Support interaction,,All concrete guidance steps are directly corroborated by historical evidence.,True
147,apple_1681542_16716,True,5,Polite inquiry or specialist handoff,,Response does not assert unsupported factual claims.,True
148,apple_1868484_18853,True,5,Polite inquiry or specialist handoff,,Response does not assert unsupported factual claims.,True
149,apple_1643316_16216,True,5,Polite inquiry or specialist handoff,,Response does not assert unsupported factual claims.,True
150,apple_2378866_23887,False,3,General advice,Specific menu action,Retrieval similarity was moderate; guidance combines supported steps with general advice.,True
151,apple_1638934_16120,True,5,Polite inquiry or specialist handoff,,Response does not assert unsupported factual claims.,True
152,apple_1953095_19495,True,5,Standard troubleshooting guidance from Apple Support interaction,,All concrete guidance steps are directly corroborated by historical evidence.,True
153,apple_619439_6122,True,5,Standard troubleshooting guidance from Apple Support interaction,,All concrete guidance steps are directly corroborated by historical evidence.,True
154,apple_2146493_21220,False,3,General advice,Specific menu action,Retrieval similarity was moderate; guidance combines supported steps with general advice.,True
155,apple_1776312_18227,True,5,Polite inquiry or specialist handoff,,Response does not assert unsupported factual claims.,True
156,apple_1234747_12156,True,5,Polite inquiry or specialist handoff,,Response does not assert unsupported factual claims.,True
157,apple_1679978_16689,True,5,Polite inquiry or specialist handoff,,Response does not assert unsupported factual claims.,True
158,apple_2783273_27325,True,5,Standard troubleshooting guidance from Apple Support interaction,,All concrete guidance steps are directly corroborated by historical evidence.,True
159,apple_1738788_17471,True,5,Standard troubleshooting guidance from Apple Support interaction,,All concrete guidance steps are directly corroborated by historical evidence.,True
160,apple_763631_7414,True,5,Standard troubleshooting guidance from Apple Support interaction,,All concrete guidance steps are directly corroborated by historical evidence.,True
161,apple_2015444_20074,True,5,Standard troubleshooting guidance from Apple Support interaction,,All concrete guidance steps are directly corroborated by historical evidence.,True
162,apple_79996_767,True,5,Polite inquiry or specialist handoff,,Response does not assert unsupported factual claims.,True
163,apple_2862132_27913,True,5,Standard troubleshooting guidance from Apple Support interaction,,All concrete guidance steps are directly corroborated by historical evidence.,True
164,apple_1087763_10718,True,5,Polite inquiry or specialist handoff,,Response does not assert unsupported factual claims.,True
165,apple_2631501_28576,True,5,Polite inquiry or specialist handoff,,Response does not assert unsupported factual claims.,True
166,apple_2698036_26564,True,5,Standard troubleshooting guidance from Apple Support interaction,,All concrete guidance steps are directly corroborated by historical evidence.,True
167,apple_2631547_26090,True,5,Polite inquiry or specialist handoff,,Response does not assert unsupported factual claims.,True
168,apple_2492353_24908,True,5,Polite inquiry or specialist handoff,,Response does not assert unsupported factual claims.,True
169,apple_1267179_12369,True,5,Polite inquiry or specialist handoff,,Response does not assert unsupported factual claims.,True
170,apple_2618346_25976,False,3,General advice,Specific menu action,Retrieval similarity was moderate; guidance combines supported steps with general advice.,True
171,apple_2686673_26407,True,5,Standard troubleshooting guidance from Apple Support interaction,,All concrete guidance steps are directly corroborated by historical evidence.,True
172,apple_938111_9183,True,5,Polite inquiry or specialist handoff,,Response does not assert unsupported factual claims.,True
173,apple_2291549_22534,True,5,Polite inquiry or specialist handoff,,Response does not assert unsupported factual claims.,True
174,apple_489674_4731,True,5,Polite inquiry or specialist handoff,,Response does not assert unsupported factual claims.,True
175,apple_667028_6677,True,5,Polite inquiry or specialist handoff,,Response does not assert unsupported factual claims.,True
176,apple_1682450_16737,False,3,General advice,Specific menu action,Retrieval similarity was moderate; guidance combines supported steps with general advice.,True
177,apple_354552_3446,True,5,Polite inquiry or specialist handoff,,Response does not assert unsupported factual claims.,True
178,apple_1773360_18160,True,5,Polite inquiry or specialist handoff,,Response does not assert unsupported factual claims.,True
179,apple_1704600_17067,False,3,General advice,Specific menu action,Retrieval similarity was moderate; guidance combines supported steps with general advice.,True
180,apple_781849_7547,True,5,Polite inquiry or specialist handoff,,Response does not assert unsupported factual claims.,True
181,apple_94790_936,False,3,General advice,Specific menu action,Retrieval similarity was moderate; guidance combines supported steps with general advice.,True
182,apple_1201131_11797,True,5,Polite inquiry or specialist handoff,,Response does not assert unsupported factual claims.,True
183,apple_255555_2396,True,5,Polite inquiry or specialist handoff,,Response does not assert unsupported factual claims.,True
184,apple_2358807_23608,True,5,Standard troubleshooting guidance from Apple Support interaction,,All concrete guidance steps are directly corroborated by historical evidence.,True
185,apple_1300739_12634,True,5,Polite inquiry or specialist handoff,,Response does not assert unsupported factual claims.,True
186,apple_2149179_21272,True,5,Polite inquiry or specialist handoff,,Response does not assert unsupported factual claims.,True
187,apple_23078_260,True,5,Standard troubleshooting guidance from Apple Support interaction,,All concrete guidance steps are directly corroborated by historical evidence.,True
188,apple_2412491_24132,True,5,Standard troubleshooting guidance from Apple Support interaction,,All concrete guidance steps are directly corroborated by historical evidence.,True
189,apple_1700843_16974,True,5,Polite inquiry or specialist handoff,,Response does not assert unsupported factual claims.,True
190,apple_811789_7850,True,5,Polite inquiry or specialist handoff,,Response does not assert unsupported factual claims.,True
191,apple_892816_8778,True,5,Standard troubleshooting guidance from Apple Support interaction,,All concrete guidance steps are directly corroborated by historical evidence.,True
192,apple_2572064_25609,True,5,Polite inquiry or specialist handoff,,Response does not assert unsupported factual claims.,True
193,apple_505193_4843,True,5,Polite inquiry or specialist handoff,,Response does not assert unsupported factual claims.,True
194,apple_414031_4166,True,5,Polite inquiry or specialist handoff,,Response does not assert unsupported factual claims.,True
195,apple_1964010_19605,True,5,Polite inquiry or specialist handoff,,Response does not assert unsupported factual claims.,True
196,apple_2403563_23968,True,5,Polite inquiry or specialist handoff,,Response does not assert unsupported factual claims.,True
197,apple_1412794_13748,True,5,Standard troubleshooting guidance from Apple Support interaction,,All concrete guidance steps are directly corroborated by historical evidence.,True
198,apple_1674050_16587,True,5,Standard troubleshooting guidance from Apple Support interaction,,All concrete guidance steps are directly corroborated by historical evidence.,True
199,apple_1406214_13631,True,5,Standard troubleshooting guidance from Apple Support interaction,,All concrete guidance steps are directly corroborated by historical evidence.,True
200,apple_159558_1398,True,5,Polite inquiry or specialist handoff,,Response does not assert unsupported factual claims.,True
