gold_id,conversation_id,predicted_action,predicted_intent,customer_conversation,retrieved_evidence_summary,evidence_1_case_id,evidence_1_similarity,evidence_1_customer_message,evidence_1_apple_response,evidence_2_case_id,evidence_2_similarity,evidence_2_customer_message,evidence_2_apple_response,evidence_3_case_id,evidence_3_similarity,evidence_3_customer_message,evidence_3_apple_response,generated_response,llm_evidence_judge_score,llm_evidence_supported,llm_judge_supported_claims,llm_judge_unsupported_claims,human_evidence_supported,human_support_score,human_notes
26,apple_1711965_17227,auto_handle,Other / General,"AppleSupport: @162048 Here’s what you can do to work around the issue until it’s fixed in a future software update: [LINK]
Customer: @AppleSupport Doesn’t work @AppleSupport 😣
AppleSupport: @162048 Let's take a closer look at this together. DM us and we'll get started. [LINK]","[Case 1 | ID: apple_1405358_13614_1405481 | Sim: 0.9232]
Customer: This doesn’t work... @AppleSupport 😡😡
AppleSupport: @565557 We want to help you. DM us, and we can look into this deeper. https://t.co/GDrqU22YpT

[Case 2 | ID: apple_2242089_21810_2242090 | Sim: 0.7449]
Customer: It works. Thank you, @AppleSupport. I.
AppleSupport: @653667 You're welcome and enjoy the rest of your day!

[Case 3 | ID: apple_1713037_17254_1713038 | Sim: 0.7440]
Customer: That did not work for me! I’ve tried that and It was extremely unsuccessful hence why I am writing @AppleSupport
AppleSupport: @518858 Let's take a look at this further for you. Reach out to us in DM. https://t.co/GDrqU22YpT",apple_1405358_13614_1405481,0.9232,This doesn’t work... @AppleSupport 😡😡,"@565557 We want to help you. DM us, and we can look into this deeper. https://t.co/GDrqU22YpT",apple_2242089_21810_2242090,0.7449,"It works. Thank you, @AppleSupport. I.",@653667 You're welcome and enjoy the rest of your day!,apple_1713037_17254_1713038,0.744,That did not work for me! I’ve tried that and It was extremely unsuccessful hence why I am writing @AppleSupport,@518858 Let's take a look at this further for you. Reach out to us in DM. https://t.co/GDrqU22YpT,"We understand you're experiencing an issue with Other / General. Here is standard guidance from Apple Support: We want to help you. DM us, and we can look into this deeper. If the issue persists, please let us know!",5,True,Standard troubleshooting guidance from Apple Support interaction,,YES,5,"Response matches top-matched Case 1 verbatim ('We want to help you, DM us') and aligns with the actual conversation (customer says the workaround didn't work)."
34,apple_1694918_16885,auto_handle,Messages / Calling,"AppleSupport: @514248 We're here to help fix technical issues. What's the model you have and the issue happening with it? Any steps tried?
Customer: @AppleSupport 6s. Apps are freezing Facebook mostly. iMessage is acting funny sometimes won’t let me add pics to a message. Scrolling is slow","[Case 1 | ID: apple_889135_8748_889136 | Sim: 0.7579]
Customer: FB, Snapchat, and my phone keep freezing. Very frustrating. I have the newest update. 11.1.2 iPhone 6s
AppleSupport: @331090 Thanks for those details. Have all these apps been updated via the App Store? When did you first encounter these issues with the apps crashing?

[Case 2 | ID: apple_2757518_27154_2757519 | Sim: 0.7375]
Customer: Some apps the pages won’t refresh, the wheel just keeps spinning. When trying to send pics thru messaging my phone has frozen 5 different times.
AppleSupport: @163167 Are these internet based applications? In other words, do they not seem to be loading things from online? Let us know in a DM. https://t.co/GDrqU22YpT

[Case 3 | ID: apple_1181480_11662_1181481 | Sim: 0.7286]
Customer: The apps are significantly slowed down. Numerous issues sending pics thru text. Freezes up in the middle of typing.
AppleSupport: @397853 Are you noticing that the slow apps are the same apps or is it random? When it becomes unresponsive, what do you have to do?",apple_889135_8748_889136,0.7579,"FB, Snapchat, and my phone keep freezing. Very frustrating. I have the newest update. 11.1.2 iPhone 6s",@331090 Thanks for those details. Have all these apps been updated via the App Store? When did you first encounter these issues with the apps crashing?,apple_2757518_27154_2757519,0.7375,"Some apps the pages won’t refresh, the wheel just keeps spinning. When trying to send pics thru messaging my phone has frozen 5 different times.","@163167 Are these internet based applications? In other words, do they not seem to be loading things from online? Let us know in a DM. https://t.co/GDrqU22YpT",apple_1181480_11662_1181481,0.7286,The apps are significantly slowed down. Numerous issues sending pics thru text. Freezes up in the middle of typing.,"@397853 Are you noticing that the slow apps are the same apps or is it random? When it becomes unresponsive, what do you have to do?","We understand you're experiencing an issue with Messages / Calling. Here is standard guidance from Apple Support: Thanks for those details. Have all these apps been updated via the App Store? When did you first encounter these issues with the apps crashing? If the issue persists, please let us know!",5,True,Standard troubleshooting guidance from Apple Support interaction,,YES,5,Response matches top-matched Case 1 verbatim and closely mirrors the actual customer's freezing-apps description.
39,apple_2185372_21434,escalate,Other / General,"AppleSupport: @640021 Let's help improve the accuracy as much as possible. In this scenario, please check out: [LINK]
Customer: @AppleSupport It’s not about accuracy. I used the activity app in the watch. That’s what said I burned 245 calories. So, the same watch should show 245 calories in the move ring.
AppleSupport: @640021 We understand. Please reach out to us via DM and we can pick up from there. [LINK]","[Case 1 | ID: apple_2838639_27736_2838643 | Sim: 0.6028]
Customer: I already set it up. When I worked out for an hour today, the calories didn’t track nor did the time. Even though I kept checking it
AppleSupport: @790004 We'd like to investigate further with you. Send us a DM and we can troubleshoot more from there. https://t.co/GDrqU22YpT

[Case 2 | ID: apple_509579_4892_509580 | Sim: 0.5783]
Customer: Always the latest released version. Previous month I had the 25k move calories challenge which worked OK, counted total calories to date. My brother had the distance challenge and same bug was there, we just didn’t recognize it. We thought that his counter simply didn’t work.
AppleSupport: @137632 Thank you for that information. Which Apple Watch are you using? If you're using Apple Watch Series 1 or earlier, let's calibrate it using the following article: https://t.co/rhTgi5kLq8

[Case 3 | ID: apple_2321895_23286_2321899 | Sim: 0.5539]
Customer: Dear Apple, pro user here. If we wanted details, see images please. Any idea why my Activity ring doesn't reflect the Watch activity tracking? I mean before making me delete and reinstall. You can say, we don't know. It's fine. Thanks for the help. https://t.co/IRvPEwhXHj
AppleSupport: @149292 Did this issue begin with the update of your iPhone to the beta software, 11.2? Please DM us. https://t.co/GDrqU22YpT",apple_2838639_27736_2838643,0.6028,"I already set it up. When I worked out for an hour today, the calories didn’t track nor did the time. Even though I kept checking it",@790004 We'd like to investigate further with you. Send us a DM and we can troubleshoot more from there. https://t.co/GDrqU22YpT,apple_509579_4892_509580,0.5783,"Always the latest released version. Previous month I had the 25k move calories challenge which worked OK, counted total calories to date. My brother had the distance challenge and same bug was there, we just didn’t recognize it. We thought that his counter simply didn’t work.","@137632 Thank you for that information. Which Apple Watch are you using? If you're using Apple Watch Series 1 or earlier, let's calibrate it using the following article: https://t.co/rhTgi5kLq8",apple_2321895_23286_2321899,0.5539,"Dear Apple, pro user here. If we wanted details, see images please. Any idea why my Activity ring doesn't reflect the Watch activity tracking? I mean before making me delete and reinstall. You can say, we don't know. It's fine. Thanks for the help. https://t.co/IRvPEwhXHj","@149292 Did this issue begin with the update of your iPhone to the beta software, 11.2? Please DM us. https://t.co/GDrqU22YpT","I’m sorry to hear the troubleshooting steps haven't resolved this. At this point, I recommend connecting directly with an Apple Support specialist who can look into your device and assist you further.",5,True,Polite inquiry or specialist handoff,,YES,4,"Evidence (Cases 1-3) consistently shows similar Watch/Activity issues escalating to DM after discussion; the actual conversation shows a detailed explanation followed by DM handoff, consistent with the response even though no explicit prior 'failed troubleshooting' step is stated."
42,apple_1771180_18096,escalate,Other / General,"AppleSupport: @532414 Let's see what we can do for you here. Tell us more about what you're experiencing, we'll start from there.
Customer: @AppleSupport Managed to get on a call, gonna have to try to do a walk in at the store. Thanks though 😊
AppleSupport: @532414 No problem, glad you were pointed to the right direction. Feel free to reach back out if you have any additional questions.","[Case 1 | ID: apple_2583209_25713_2583210 | Sim: 0.5804]
Customer: I got someone on the phone, thank you!
AppleSupport: @732049 You’re welcome! If you have any other issues, let us know. We’re available every day from 5 a.m. to 8 p.m. Pacific time.

[Case 2 | ID: apple_2867300_27952_2867301 | Sim: 0.5369]
Customer: Thanks for the quick reply. I’m actually at one of your stores right now, waiting on a technician.
AppleSupport: @796329 They should be able to assist. Have a great day!

[Case 3 | ID: apple_2013826_20021_2013823 | Sim: 0.5333]
Customer: Just tried to call however the line has closed for the day. Can you guys help me instead as i will find it hard to call in opening hours
AppleSupport: @588699 We don't have access to order details through this support option. Only our Sales Team has access to assist with this issue.",apple_2583209_25713_2583210,0.5804,"I got someone on the phone, thank you!","@732049 You’re welcome! If you have any other issues, let us know. We’re available every day from 5 a.m. to 8 p.m. Pacific time.",apple_2867300_27952_2867301,0.5369,"Thanks for the quick reply. I’m actually at one of your stores right now, waiting on a technician.",@796329 They should be able to assist. Have a great day!,apple_2013826_20021_2013823,0.5333,Just tried to call however the line has closed for the day. Can you guys help me instead as i will find it hard to call in opening hours,@588699 We don't have access to order details through this support option. Only our Sales Team has access to assist with this issue.,"I’m sorry to hear the troubleshooting steps haven't resolved this. At this point, I recommend connecting directly with an Apple Support specialist who can look into your device and assist you further.",5,True,Polite inquiry or specialist handoff,,NO,1,"Actual conversation shows the issue was already resolved via a phone call and the exchange is a closing/thank-you, not a case of troubleshooting failing and needing specialist escalation."
43,apple_1245977_12275,auto_handle,iOS / Software,"AppleSupport: @412299 This is not the experience we want you to have with the update. What issues are you having?
Customer: @AppleSupport I used beta these issues are same since you guys released first beta of iOS 11. I think iOS 10 was better than this one.
AppleSupport: @412299 Thank you. Please send us a DM and we will look into this together. [LINK]","[Case 1 | ID: apple_307332_3008_307389 | Sim: 0.8091]
Customer: have y’all finished working out those bugs on the newest update. This iOS 11.0.2 is piss poor ...
AppleSupport: @217835 Let's work on it together. What symptoms are you experiencing? Which iPhone do you have?

[Case 2 | ID: apple_455046_4532_455052 | Sim: 0.8070]
Customer: Yea still the same, I been struggling with it since iOS 11.1 came out
AppleSupport: @223018 Understood. Let's force quit the Mail app and let us know if the issue continues. Here's how: https://t.co/RqqIctrDWV

[Case 3 | ID: apple_2320099_23237_2320100 | Sim: 0.7969]
Customer: Never mind I got the new iOS 11.2 beta 3 and everything is fine. Thanks tho
AppleSupport: @672419 Great, we're happy to hear it. If you need anything else in the future, just let us know.",apple_307332_3008_307389,0.8091,have y’all finished working out those bugs on the newest update. This iOS 11.0.2 is piss poor ...,@217835 Let's work on it together. What symptoms are you experiencing? Which iPhone do you have?,apple_455046_4532_455052,0.807,"Yea still the same, I been struggling with it since iOS 11.1 came out",@223018 Understood. Let's force quit the Mail app and let us know if the issue continues. Here's how: https://t.co/RqqIctrDWV,apple_2320099_23237_2320100,0.7969,Never mind I got the new iOS 11.2 beta 3 and everything is fine. Thanks tho,"@672419 Great, we're happy to hear it. If you need anything else in the future, just let us know.","We understand you're experiencing an issue with iOS / Software. Here is standard guidance from Apple Support: Let's work on it together. What symptoms are you experiencing? Which iPhone do you have? If the issue persists, please let us know!",5,True,Standard troubleshooting guidance from Apple Support interaction,,YES,5,"Response matches top-matched Case 1 verbatim ('let's work on it together, what symptoms, which iPhone') and matches the actual complaint about iOS bugs."
52,apple_2703186_26629,escalate,Other / General,"AppleSupport: @759272 Let us help with your iPhone! We can understand wanting to get your data transferred over. What happens when you try to transfer the data? Are you getting an error message?
Customer: @AppleSupport Not sir, I donno how to do it. Cant find a way. I tried searching for it, saw Apple's site, but no help.
AppleSupport: @759272 Thanks for letting us know. You’ll want to be sure to follow the exact steps listed here: [LINK] Let us know if you're still having issues after completing the steps in the article.
Customer: @AppleSupport Ok let me try that, will let you know if I need further help :) Thnku.","[Case 1 | ID: apple_1524080_14747_1524088 | Sim: 0.7891]
Customer: Thx, Already have done so some time ago, unfortunately no response from Apple
AppleSupport: @473486 If you wish to disable Bluetooth, you can do so at Settings>Wi-Fi>Bluetooth. You can ask Siri do it as well.

[Case 2 | ID: apple_2652595_26208_2652596 | Sim: 0.7019]
Customer: Yes. I know how to do it but it isn’t working, as you can see from screenshot
AppleSupport: @669657 Let's have our iTunes Support team take a look at this. Use this link to contact them: https://t.co/SDIe7UiyJN

[Case 3 | ID: apple_661563_6609_2621257 | Sim: 0.6950]
Customer: Yes, we have tried this option unfortunately it didn't work
AppleSupport: @740648 What country or region are you currently located in? This will help us provide the best support options. Let us know in Direct Message, and we'll help out. https://t.co/GDrqU22YpT",apple_1524080_14747_1524088,0.7891,"Thx, Already have done so some time ago, unfortunately no response from Apple","@473486 If you wish to disable Bluetooth, you can do so at Settings>Wi-Fi>Bluetooth. You can ask Siri do it as well.",apple_2652595_26208_2652596,0.7019,"Yes. I know how to do it but it isn’t working, as you can see from screenshot",@669657 Let's have our iTunes Support team take a look at this. Use this link to contact them: https://t.co/SDIe7UiyJN,apple_661563_6609_2621257,0.695,"Yes, we have tried this option unfortunately it didn't work","@740648 What country or region are you currently located in? This will help us provide the best support options. Let us know in Direct Message, and we'll help out. https://t.co/GDrqU22YpT","I’m sorry to hear the troubleshooting steps haven't resolved this. At this point, I recommend connecting directly with an Apple Support specialist who can look into your device and assist you further.",5,True,Polite inquiry or specialist handoff,,NO,2,"Actual conversation shows the customer has not yet attempted the newly provided steps ('let me try that... will let you know'), so claiming troubleshooting 'hasn't resolved this' is premature and not supported by the conversation context."
54,apple_1148780_11256,clarify,Other / General,"AppleSupport: @390339 We're glad you reached out to us so we can help. See using Control Center for info on Bluetooth: [LINK]
Customer: @AppleSupport Thank You
AppleSupport: @390339 You’re welcome. Feel free to reach back out to us if you have further questions. Have a wonderful day!","[Case 1 | ID: apple_41657_508_41658 | Sim: 1.0000]
Customer: Thank you
AppleSupport: @125167 You're welcome!

[Case 2 | ID: apple_23135_274_23139 | Sim: 1.0000]
Customer: Thank you
AppleSupport: @121039 You're most welcome. Enjoy your day!

[Case 3 | ID: apple_8314_144_8315 | Sim: 1.0000]
Customer: Thank you
AppleSupport: @117460 You're very welcome! Please feel free to reach out to us again if you need any more help. Have a great day!",apple_41657_508_41658,1.0,Thank you,@125167 You're welcome!,apple_23135_274_23139,1.0,Thank you,@121039 You're most welcome. Enjoy your day!,apple_8314_144_8315,1.0,Thank you,@117460 You're very welcome! Please feel free to reach out to us again if you need any more help. Have a great day!,"Could you please clarify which device, app, or feature is experiencing the issue?",5,True,Polite inquiry or specialist handoff,,NO,0,"Both the evidence and the actual conversation are closing exchanges triggered by 'Thank you', where Apple's real response was an acknowledgment ('You're welcome'), not a request for clarification. The generated question is inconsistent with what the evidence shows actually happens in this exact situation."
57,apple_2028919_20200,clarify,Messages / Calling,"AppleSupport: @599989 Let’s work together on this situation. How long has this been happening? Let us know via a DM. We’ll go from there. [LINK]
Customer: @AppleSupport Thanks, message sent.","[Case 1 | ID: apple_1666322_16529_1666321 | Sim: 0.7412]
Customer: Thanks, i sent a message 👍
AppleSupport: @507635 We see your DM and will repsond shortly. Look for us there.

[Case 2 | ID: apple_1141052_11124_1141051 | Sim: 0.6936]
Customer: Message sent
AppleSupport: @388590 Awesome! We've received your DM and we'll continue there.

[Case 3 | ID: apple_121530_1144_121529 | Sim: 0.6936]
Customer: Message sent
AppleSupport: @143056 We got your DM. We will meet with you there.",apple_1666322_16529_1666321,0.7412,"Thanks, i sent a message 👍",@507635 We see your DM and will repsond shortly. Look for us there.,apple_1141052_11124_1141051,0.6936,Message sent,@388590 Awesome! We've received your DM and we'll continue there.,apple_121530_1144_121529,0.6936,Message sent,@143056 We got your DM. We will meet with you there.,"Could you please clarify which device, app, or feature is experiencing the issue?",5,True,Polite inquiry or specialist handoff,,NO,1,"Evidence and the actual conversation show the customer already sent the requested DM ('Thanks, message sent'), a closing-type exchange; asking for clarification isn't supported."
60,apple_612853_6006,escalate,App Issue,"AppleSupport: Seeing an i️ whenever you type “i"" in iOS 11.1? Fix it by installing the latest software update. [LINK]
Customer: @AppleSupport Hey apple I️ have a 7+ and it gets HOT every time I️ use it
AppleSupport: @723566 We want you to enjoy your iPhone; we'll do all we can to help. It can be normal for your iPhone to get warm during use. You can learn more about that under ""Your device might get warm"" here: [LINK]","[Case 1 | ID: apple_184452_1633_184457 | Sim: 0.6750]
Customer: In comparison to the iPhone 7 plus it gets hotter, but I do not receive temperature warnings. Yet, I am using this iPhone without a case.
AppleSupport: @159417 Thank you! Please take a look at this article, which offers some great tips to keep your iPhone working within acceptable operating temperatures: https://t.co/otCvUAaFQq

[Case 2 | ID: apple_954029_9388_954028 | Sim: 0.6165]
Customer: iPhone 6 Plus. Temperature doesn't really rise beyond what's normal. Battery just silently runs out. A friend also complained about same.
AppleSupport: @346379 Got it, thanks. Since completing the update, have you attempted any of the steps here: https://t.co/TpjqFp3jxD

[Case 3 | ID: apple_87091_815_87114 | Sim: 0.5969]
Customer: iphone X heats a lot while playing games even more than 6S Plus and 7 plus. Could you fix it on next update? Or is this a #HeatIssue ? #iPhoneX @258625 @115858 @2185
AppleSupport: @804908 Let us help you get this sorted out. Join us in DM so we can better assist you: https://t.co/GDrqU22YpT",apple_184452_1633_184457,0.675,"In comparison to the iPhone 7 plus it gets hotter, but I do not receive temperature warnings. Yet, I am using this iPhone without a case.","@159417 Thank you! Please take a look at this article, which offers some great tips to keep your iPhone working within acceptable operating temperatures: https://t.co/otCvUAaFQq",apple_954029_9388_954028,0.6165,iPhone 6 Plus. Temperature doesn't really rise beyond what's normal. Battery just silently runs out. A friend also complained about same.,"@346379 Got it, thanks. Since completing the update, have you attempted any of the steps here: https://t.co/TpjqFp3jxD",apple_87091_815_87114,0.5969,iphone X heats a lot while playing games even more than 6S Plus and 7 plus. Could you fix it on next update? Or is this a #HeatIssue ? #iPhoneX @258625 @115858 @2185,@804908 Let us help you get this sorted out. Join us in DM so we can better assist you: https://t.co/GDrqU22YpT,"I’m sorry to hear the troubleshooting steps haven't resolved this. At this point, I recommend connecting directly with an Apple Support specialist who can look into your device and assist you further.",5,True,Polite inquiry or specialist handoff,,NO,1,"Actual conversation is about a phone getting warm during normal use, addressed as expected behavior, not a failed-troubleshooting escalation scenario. Evidence doesn't support the escalate framing."
65,apple_2355016_23518,auto_handle,Battery / Charging,"AppleSupport: @389172 We're here to help and will do all we can to work towards a resolution. To help guide us through troubleshooting, may we get the exact iOS version currently running on the iPhone?
Customer: @AppleSupport IOS 5s Already throttled my usage Lucky to get 4 to 5 hrs Will rapidly drop 50% then rocket back up 40% when i plug in Can’t trust battery
AppleSupport: @389172 Thank you for those details. If you haven't had the chance, we would want to try the steps in the following article. Let us know in a DM if you notice any improvements after adjusting settings. [LINK] [LINK]
Customer: @AppleSupport Did that weeks ago after first upgrading. Your company response assumes we’re idiots. I am not the only one having these issues
AppleSupport: @389172 Thanks for having already looked over that! Please DM us with the specific iOS version on your iPhone currently and we'd be happy to look into other troubleshooting for this. [LINK]
Customer: @AppleSupport Was using MapMyWalk to track a walk w screen locked Shouldn’t have lost more than 10-20%
AppleSupport: @389172 Please DM us using the link below and we'd be happy to investigate further with you. [LINK]","[Case 1 | ID: apple_2355016_23517_2355017 | Sim: 0.8729]
Customer: IOS 5s Already throttled my usage Lucky to get 4 to 5 hrs Will rapidly drop 50% then rocket back up 40% when i plug in Can’t trust battery
AppleSupport: @389172 Thank you for those details. If you haven't had the chance, we would want to try the steps in the following article. Let us know in a DM if you notice any improvements after adjusting settings. https://t.co/q57Uj17Q0V https://t.co/GDrqU22YpT

[Case 2 | ID: apple_233610_2012_233611 | Sim: 0.6821]
Customer: Battery life just dropped from 11 to 2% in 5 min. Was very good with previous iOS
AppleSupport: @171610 Have you had the opportunity to update to iOS 11.0.2? If not, that would be our next recommended step. Keep us posted.

[Case 3 | ID: apple_6658_70_6766 | Sim: 0.6661]
Customer: The new update is terrible. Left the house at 90% battery life in 20 minutes I went down to 20%. Wtf Apple?
AppleSupport: @296841 Thanks for reaching out. Let's take a closer look into your battery concerns together. Send us a DM below. https://t.co/GDrqU22YpT",apple_2355016_23517_2355017,0.8729,IOS 5s Already throttled my usage Lucky to get 4 to 5 hrs Will rapidly drop 50% then rocket back up 40% when i plug in Can’t trust battery,"@389172 Thank you for those details. If you haven't had the chance, we would want to try the steps in the following article. Let us know in a DM if you notice any improvements after adjusting settings. https://t.co/q57Uj17Q0V https://t.co/GDrqU22YpT",apple_233610_2012_233611,0.6821,Battery life just dropped from 11 to 2% in 5 min. Was very good with previous iOS,"@171610 Have you had the opportunity to update to iOS 11.0.2? If not, that would be our next recommended step. Keep us posted.",apple_6658_70_6766,0.6661,The new update is terrible. Left the house at 90% battery life in 20 minutes I went down to 20%. Wtf Apple?,@296841 Thanks for reaching out. Let's take a closer look into your battery concerns together. Send us a DM below. https://t.co/GDrqU22YpT,"We understand you're experiencing an issue with Battery / Charging. Here is standard guidance from Apple Support: Thank you for those details. If you haven't had the chance, we would want to try the steps in the following article. Let us know in a DM if you notice any improvements after adjusting settings. If the issue persists, please let us know!",5,True,Standard troubleshooting guidance from Apple Support interaction,,YES,5,Response matches top-matched Case 1 verbatim ('thank you for those details... article... DM if you notice improvement') and fits the actual battery-throttling complaint.
66,apple_2350807_23478,escalate,Battery / Charging,"AppleSupport: @679455 We want to help get your iPhone charging and working as expected again. To verify, have you tried using more than one charging cable and power source to see if this has any impact? Are you using the cable that came with your device?
Customer: @AppleSupport Yes, I took a special trip to the Apple store to buy 2. chargers the extension one and the regular.. I have used both.. but my phone will not hold that charge
AppleSupport: @679455 Thank you for letting us know. To be clear, is your iPhone charging and draining quickly, or is your iPhone not charging at all?
Customer: @AppleSupport Charging and draining quick
AppleSupport: @679455 Understood. Would you mind please joining us in DM? We'd like to get started on troubleshooting: [LINK]","[Case 1 | ID: apple_489705_4738_489706 | Sim: 0.6425]
Customer: first 2 apple chargers completely ripped & stopped working, so i bought 3 chargers that weren’t from apple. all 3 worked for a few months at a time, but my last one (same thing the other chargers said) said that the devices were unsupported, and kept charging and uncharging.
AppleSupport: @231635 This error may occur if you are not using an Apple certified charger: https://t.co/fJpWZGmuz7

[Case 2 | ID: apple_2376044_23863_2376045 | Sim: 0.5648]
Customer: Yes. Have tried different cables and outlets. Our iPhones are still charging with all of them.
AppleSupport: @685344 Got it. Next, please DM us so that we can look into this together. https://t.co/GDrqU22YpT

[Case 3 | ID: apple_2279560_22181_2279564 | Sim: 0.5628]
Customer: Yes that’s correct, all apple original adapter and plug. But from previous apple devices, assuming they are still compatible to use as they charge fine? Thx
AppleSupport: @662736 OK thanks for those details. What version of the iOS software do you currently have installed on your device? You can find this in Settings > General > About. Please meet us in DM with this information, so we may continue to assist. https://t.co/GDrqU22YpT",apple_489705_4738_489706,0.6425,"first 2 apple chargers completely ripped & stopped working, so i bought 3 chargers that weren’t from apple. all 3 worked for a few months at a time, but my last one (same thing the other chargers said) said that the devices were unsupported, and kept charging and uncharging.",@231635 This error may occur if you are not using an Apple certified charger: https://t.co/fJpWZGmuz7,apple_2376044_23863_2376045,0.5648,Yes. Have tried different cables and outlets. Our iPhones are still charging with all of them.,"@685344 Got it. Next, please DM us so that we can look into this together. https://t.co/GDrqU22YpT",apple_2279560_22181_2279564,0.5628,"Yes that’s correct, all apple original adapter and plug. But from previous apple devices, assuming they are still compatible to use as they charge fine? Thx","@662736 OK thanks for those details. What version of the iOS software do you currently have installed on your device? You can find this in Settings > General > About. Please meet us in DM with this information, so we may continue to assist. https://t.co/GDrqU22YpT","I’m sorry to hear the troubleshooting steps haven't resolved this. At this point, I recommend connecting directly with an Apple Support specialist who can look into your device and assist you further.",5,True,Polite inquiry or specialist handoff,,YES,4,"Evidence Case 2 closely matches: customer tried multiple cables/outlets, still an issue, Apple moves to DM -- consistent with the actual conversation where multiple cables were tried and Apple asks for DM."
69,apple_2414347_24167,clarify,Other / General,"AppleSupport: @693988 We'd be happy to point you in the right direction for help with your gift card. You'll want to get in touch with our iTunes Support team about this. You can schedule a call with them after creating a support case online here: [LINK]
Customer: @AppleSupport Thank you
AppleSupport: @693988 You're very welcome.","[Case 1 | ID: apple_41657_508_41658 | Sim: 1.0000]
Customer: Thank you
AppleSupport: @125167 You're welcome!

[Case 2 | ID: apple_23135_274_23139 | Sim: 1.0000]
Customer: Thank you
AppleSupport: @121039 You're most welcome. Enjoy your day!

[Case 3 | ID: apple_8314_144_8315 | Sim: 1.0000]
Customer: Thank you
AppleSupport: @117460 You're very welcome! Please feel free to reach out to us again if you need any more help. Have a great day!",apple_41657_508_41658,1.0,Thank you,@125167 You're welcome!,apple_23135_274_23139,1.0,Thank you,@121039 You're most welcome. Enjoy your day!,apple_8314_144_8315,1.0,Thank you,@117460 You're very welcome! Please feel free to reach out to us again if you need any more help. Have a great day!,"Could you please clarify which device, app, or feature is experiencing the issue?",5,True,Polite inquiry or specialist handoff,,NO,0,Both the evidence and the actual conversation are closing 'Thank you' -> 'You're very welcome' exchanges; there's no indication in evidence that a clarifying question follows this kind of exchange.
76,apple_954225_9396,escalate,Other / General,"AppleSupport: @346417 We’ll be glad to see how we can help. To begin, tell us which device you’re noticing this on, and we’ll get started.
Customer: @AppleSupport iPhone 6s
AppleSupport: @346417 Got it, thanks. Did you notice the photos were gone after doing anything specific on your iPhone, such as a restart or update?
Customer: @AppleSupport No, they literally just disappeared :(
AppleSupport: @346417 Your photos are important. We have a team of Photos specialists who can help. Go to: [LINK]","[Case 1 | ID: apple_1925502_19271_1925503 | Sim: 0.6899]
Customer: iPhone 6s :-(
AppleSupport: @284454 Thanks! How about charging after that update?

[Case 2 | ID: apple_1159129_11397_1159130 | Sim: 0.6538]
Customer: already did, they disappeared after i updated my phone to ios 11.0.3
AppleSupport: @392678 Thanks for trying. Please join us in DM, and we'll continue there. https://t.co/GDrqU22YpT

[Case 3 | ID: apple_1236300_12177_1236301 | Sim: 0.6468]
Customer: iPhone 7plus and 11.0.2 and I tried restoring it from a backup and they still aren’t there.
AppleSupport: @409965 Can you check our iCloud website from a computer to see if your photos appear in iCloud? https://t.co/RwqlgUBePA",apple_1925502_19271_1925503,0.6899,iPhone 6s :-(,@284454 Thanks! How about charging after that update?,apple_1159129_11397_1159130,0.6538,"already did, they disappeared after i updated my phone to ios 11.0.3","@392678 Thanks for trying. Please join us in DM, and we'll continue there. https://t.co/GDrqU22YpT",apple_1236300_12177_1236301,0.6468,iPhone 7plus and 11.0.2 and I tried restoring it from a backup and they still aren’t there.,@409965 Can you check our iCloud website from a computer to see if your photos appear in iCloud? https://t.co/RwqlgUBePA,"I’m sorry to hear the troubleshooting steps haven't resolved this. At this point, I recommend connecting directly with an Apple Support specialist who can look into your device and assist you further.",5,True,Polite inquiry or specialist handoff,,YES,4,"Evidence shows a pattern of continued troubleshooting/DM handoff for a photos-missing issue; the actual conversation ends with Apple recommending a Photos specialist team, matching the escalation framing."
