gold_id,conversation_id,predicted_action,predicted_intent,retrieval_similarity,generated_response,correctness,groundedness,helpfulness,relevance,action_appropriateness,overall_score,judge_reason,judge_success
38,apple_1372470_13296,auto_handle,iOS / Software,0.887,"We understand you're experiencing an issue with iOS / Software. Here is standard guidance from Apple Support: Let's work together to figure it out. Are you seeing the issue from other people or actually experiencing it yourself still while typing? If the issue persists, please let us know!",5,5,4,5,5,4.8,Auto-handle response is grounded in retrieved AppleSupport guidance.,True
39,apple_2185372_21434,escalate,Other / General,0.6028,"I’m sorry to hear the troubleshooting steps haven't resolved this. At this point, I recommend connecting directly with an Apple Support specialist who can look into your device and assist you further.",5,5,4,5,5,4.8,Escalation response politely directs customer to an Apple Support specialist.,True
40,apple_360740_3539,escalate,Other / General,0.6356,"I’m sorry to hear the troubleshooting steps haven't resolved this. At this point, I recommend connecting directly with an Apple Support specialist who can look into your device and assist you further.",5,5,4,5,5,4.8,Escalation response politely directs customer to an Apple Support specialist.,True
41,apple_2623985_26042,auto_handle,Music / Media,0.6912,"We understand you're experiencing an issue with Music / Media. Here is standard guidance from Apple Support: Let's go ahead and try the suggestions listed in this article, and let us know if that helps: If the issue persists, please let us know!",4,4,4,5,5,4.4,Auto-handle response is grounded in retrieved AppleSupport guidance.,True
42,apple_1771180_18096,escalate,Other / General,0.5804,"I’m sorry to hear the troubleshooting steps haven't resolved this. At this point, I recommend connecting directly with an Apple Support specialist who can look into your device and assist you further.",5,5,4,5,5,4.8,Escalation response politely directs customer to an Apple Support specialist.,True
43,apple_1245977_12275,auto_handle,iOS / Software,0.8091,"We understand you're experiencing an issue with iOS / Software. Here is standard guidance from Apple Support: Let's work on it together. What symptoms are you experiencing? Which iPhone do you have? If the issue persists, please let us know!",5,5,4,5,5,4.8,Auto-handle response is grounded in retrieved AppleSupport guidance.,True
44,apple_11132_209,auto_handle,Messages / Calling,0.7407,"We understand you're experiencing an issue with Messages / Calling. Here is standard guidance from Apple Support: DM us and let us know if this issue just started. Also, have you done anything to try to resolve this issue? If the issue persists, please let us know!",5,4,4,5,5,4.6,Auto-handle response is grounded in retrieved AppleSupport guidance.,True
45,apple_2403762_23992,escalate,Other / General,0.3734,"I’m sorry to hear the troubleshooting steps haven't resolved this. At this point, I recommend connecting directly with an Apple Support specialist who can look into your device and assist you further.",5,5,4,5,5,4.8,Escalation response politely directs customer to an Apple Support specialist.,True
46,apple_1971086_19665,clarify,Other / General,0.9535,"Could you please clarify which device, app, or feature is experiencing the issue?",5,5,4,5,5,4.8,Clarification question asks for missing device/app details appropriately without guessing.,True
47,apple_1606700_15704,escalate,Other / General,0.4887,"I’m sorry to hear the troubleshooting steps haven't resolved this. At this point, I recommend connecting directly with an Apple Support specialist who can look into your device and assist you further.",5,5,4,5,5,4.8,Escalation response politely directs customer to an Apple Support specialist.,True
48,apple_61348_720,auto_handle,App Issue,0.9218,"We understand you're experiencing an issue with App Issue. Here is standard guidance from Apple Support: Let's look into this behavior together. To get started, which device are you using? If the issue persists, please let us know!",5,5,4,5,5,4.8,Auto-handle response is grounded in retrieved AppleSupport guidance.,True
49,apple_2758265_27158,escalate,Messages / Calling,0.6164,"I’m sorry to hear the troubleshooting steps haven't resolved this. At this point, I recommend connecting directly with an Apple Support specialist who can look into your device and assist you further.",5,5,4,5,5,4.8,Escalation response politely directs customer to an Apple Support specialist.,True
50,apple_2676896_26285,escalate,Other / General,0.5669,"I’m sorry to hear the troubleshooting steps haven't resolved this. At this point, I recommend connecting directly with an Apple Support specialist who can look into your device and assist you further.",5,5,4,5,5,4.8,Escalation response politely directs customer to an Apple Support specialist.,True
51,apple_889075_8738,escalate,Settings / Features,0.761,"I’m sorry to hear the troubleshooting steps haven't resolved this. At this point, I recommend connecting directly with an Apple Support specialist who can look into your device and assist you further.",5,5,4,5,5,4.8,Escalation response politely directs customer to an Apple Support specialist.,True
52,apple_2703186_26629,escalate,Other / General,0.7891,"I’m sorry to hear the troubleshooting steps haven't resolved this. At this point, I recommend connecting directly with an Apple Support specialist who can look into your device and assist you further.",5,5,4,5,5,4.8,Escalation response politely directs customer to an Apple Support specialist.,True
53,apple_710659_6982,escalate,Other / General,0.7796,"I’m sorry to hear the troubleshooting steps haven't resolved this. At this point, I recommend connecting directly with an Apple Support specialist who can look into your device and assist you further.",5,5,4,5,5,4.8,Escalation response politely directs customer to an Apple Support specialist.,True
54,apple_1148780_11256,clarify,Other / General,1.0,"Could you please clarify which device, app, or feature is experiencing the issue?",5,5,4,5,5,4.8,Clarification question asks for missing device/app details appropriately without guessing.,True
55,apple_822704_7966,auto_handle,iOS / Software,0.6831,"We understand you're experiencing an issue with iOS / Software. Here is standard guidance from Apple Support: Thanks for reaching out to us. For help with backing up your device, use this article here: If the issue persists, please let us know!",4,4,4,5,5,4.4,Auto-handle response is grounded in retrieved AppleSupport guidance.,True
56,apple_753049_7304,auto_handle,Connectivity,0.6705,"We understand you're experiencing an issue with Connectivity. Here is standard guidance from Apple Support: Let's update to 11.1.2 and see if the issue persists. This article can help you with the steps to create a new backup and then update: If the issue persists, please let us know!",4,4,4,5,5,4.4,Auto-handle response is grounded in retrieved AppleSupport guidance.,True
57,apple_2028919_20200,clarify,Messages / Calling,0.7412,"Could you please clarify which device, app, or feature is experiencing the issue?",5,5,4,5,5,4.8,Clarification question asks for missing device/app details appropriately without guessing.,True
58,apple_119491_1125,escalate,Other / General,0.6075,"I’m sorry to hear the troubleshooting steps haven't resolved this. At this point, I recommend connecting directly with an Apple Support specialist who can look into your device and assist you further.",5,5,4,5,5,4.8,Escalation response politely directs customer to an Apple Support specialist.,True
59,apple_2840405_27761,escalate,Battery / Charging,0.5321,"I’m sorry to hear the troubleshooting steps haven't resolved this. At this point, I recommend connecting directly with an Apple Support specialist who can look into your device and assist you further.",5,5,4,5,5,4.8,Escalation response politely directs customer to an Apple Support specialist.,True
60,apple_612853_6006,escalate,App Issue,0.675,"I’m sorry to hear the troubleshooting steps haven't resolved this. At this point, I recommend connecting directly with an Apple Support specialist who can look into your device and assist you further.",5,5,4,5,5,4.8,Escalation response politely directs customer to an Apple Support specialist.,True
61,apple_2303697_22921,escalate,Other / General,0.5821,"I’m sorry to hear the troubleshooting steps haven't resolved this. At this point, I recommend connecting directly with an Apple Support specialist who can look into your device and assist you further.",5,5,4,5,5,4.8,Escalation response politely directs customer to an Apple Support specialist.,True
62,apple_1439364_13974,escalate,Music / Media,0.6493,"I’m sorry to hear the troubleshooting steps haven't resolved this. At this point, I recommend connecting directly with an Apple Support specialist who can look into your device and assist you further.",5,5,4,5,5,4.8,Escalation response politely directs customer to an Apple Support specialist.,True
63,apple_484601_4674,escalate,iOS / Software,0.6261,"I’m sorry to hear the troubleshooting steps haven't resolved this. At this point, I recommend connecting directly with an Apple Support specialist who can look into your device and assist you further.",5,5,4,5,5,4.8,Escalation response politely directs customer to an Apple Support specialist.,True
64,apple_304458_2944,auto_handle,Other / General,0.7306,"We understand you're experiencing an issue with Other / General. Here is standard guidance from Apple Support: We're glad to hear that, thanks for letting us know. Be sure to back up both devices and update to iOS 11.2. How to back up: Update the iOS software on your iPhone: If the issue persists, please let us know!",5,4,4,5,5,4.6,Auto-handle response is grounded in retrieved AppleSupport guidance.,True
65,apple_2355016_23518,auto_handle,Battery / Charging,0.8729,"We understand you're experiencing an issue with Battery / Charging. Here is standard guidance from Apple Support: Thank you for those details. If you haven't had the chance, we would want to try the steps in the following article. Let us know in a DM if you notice any improvements after adjusting settings. If the issue persists, please let us know!",5,5,4,5,5,4.8,Auto-handle response is grounded in retrieved AppleSupport guidance.,True
66,apple_2350807_23478,escalate,Battery / Charging,0.6425,"I’m sorry to hear the troubleshooting steps haven't resolved this. At this point, I recommend connecting directly with an Apple Support specialist who can look into your device and assist you further.",5,5,4,5,5,4.8,Escalation response politely directs customer to an Apple Support specialist.,True
67,apple_92805_906,escalate,Other / General,0.625,"I’m sorry to hear the troubleshooting steps haven't resolved this. At this point, I recommend connecting directly with an Apple Support specialist who can look into your device and assist you further.",5,5,4,5,5,4.8,Escalation response politely directs customer to an Apple Support specialist.,True
68,apple_1216306_11921,clarify,Other / General,0.7561,"Could you please clarify which device, app, or feature is experiencing the issue?",5,5,4,5,5,4.8,Clarification question asks for missing device/app details appropriately without guessing.,True
69,apple_2414347_24167,clarify,Other / General,1.0,"Could you please clarify which device, app, or feature is experiencing the issue?",5,5,4,5,5,4.8,Clarification question asks for missing device/app details appropriately without guessing.,True
70,apple_1220407_11987,auto_handle,Other / General,0.9704,"We understand you're experiencing an issue with Other / General. Here is standard guidance from Apple Support: We've received your DM and we'll follow up with you there shortly. If the issue persists, please let us know!",5,5,4,5,5,4.8,Auto-handle response is grounded in retrieved AppleSupport guidance.,True
71,apple_1706882_17101,auto_handle,iOS / Software,0.9452,"We understand you're experiencing an issue with iOS / Software. Here is standard guidance from Apple Support: DM us your country and we'll be happy to continue working there. If the issue persists, please let us know!",5,5,4,5,5,4.8,Auto-handle response is grounded in retrieved AppleSupport guidance.,True
72,apple_45584_547,clarify,Other / General,1.0,"Could you please clarify which device, app, or feature is experiencing the issue?",5,5,4,5,5,4.8,Clarification question asks for missing device/app details appropriately without guessing.,True
73,apple_125796_1188,escalate,Other / General,0.6742,"I’m sorry to hear the troubleshooting steps haven't resolved this. At this point, I recommend connecting directly with an Apple Support specialist who can look into your device and assist you further.",5,5,4,5,5,4.8,Escalation response politely directs customer to an Apple Support specialist.,True
74,apple_302929_2916,escalate,Other / General,0.6185,"I’m sorry to hear the troubleshooting steps haven't resolved this. At this point, I recommend connecting directly with an Apple Support specialist who can look into your device and assist you further.",5,5,4,5,5,4.8,Escalation response politely directs customer to an Apple Support specialist.,True
75,apple_802459_7719,escalate,Device / Hardware,0.6053,"I’m sorry to hear the troubleshooting steps haven't resolved this. At this point, I recommend connecting directly with an Apple Support specialist who can look into your device and assist you further.",5,5,4,5,5,4.8,Escalation response politely directs customer to an Apple Support specialist.,True
76,apple_954225_9396,escalate,Other / General,0.6899,"I’m sorry to hear the troubleshooting steps haven't resolved this. At this point, I recommend connecting directly with an Apple Support specialist who can look into your device and assist you further.",5,5,4,5,5,4.8,Escalation response politely directs customer to an Apple Support specialist.,True
77,apple_1557151_15038,auto_handle,Connectivity,0.973,"We understand you're experiencing an issue with Connectivity. Here is standard guidance from Apple Support: Got it, thanks for letting us know. Go ahead and test the update once again, this time when the prompt shows double tap the Side button on your iPhone. If needed this article will assist with the location: Let us know the results. If the issue persists, please let us know!",5,5,4,5,5,4.8,Auto-handle response is grounded in retrieved AppleSupport guidance.,True
78,apple_2673454_26230,auto_handle,Other / General,0.9258,"We understand you're experiencing an issue with Other / General. Here is standard guidance from Apple Support: We'll be following up with you in DM shortly. If the issue persists, please let us know!",5,5,4,5,5,4.8,Auto-handle response is grounded in retrieved AppleSupport guidance.,True
79,apple_619408_6119,escalate,Other / General,0.6316,"I’m sorry to hear the troubleshooting steps haven't resolved this. At this point, I recommend connecting directly with an Apple Support specialist who can look into your device and assist you further.",5,5,4,5,5,4.8,Escalation response politely directs customer to an Apple Support specialist.,True
80,apple_1441526_13985,escalate,Battery / Charging,0.7662,"I’m sorry to hear the troubleshooting steps haven't resolved this. At this point, I recommend connecting directly with an Apple Support specialist who can look into your device and assist you further.",5,5,4,5,5,4.8,Escalation response politely directs customer to an Apple Support specialist.,True
81,apple_1368823_13250,auto_handle,Connectivity,0.7014,"We understand you're experiencing an issue with Connectivity. Here is standard guidance from Apple Support: Which iOS version is currently installed? DM us your answer and we'll take a look into this together. If the issue persists, please let us know!",5,4,4,5,5,4.6,Auto-handle response is grounded in retrieved AppleSupport guidance.,True
82,apple_2369461_23749,escalate,iCloud / Backup / Data,0.5231,"I’m sorry to hear the troubleshooting steps haven't resolved this. At this point, I recommend connecting directly with an Apple Support specialist who can look into your device and assist you further.",5,5,4,5,5,4.8,Escalation response politely directs customer to an Apple Support specialist.,True
83,apple_2295668_22648,auto_handle,Other / General,0.9059,"We understand you're experiencing an issue with Other / General. Here is standard guidance from Apple Support: Since iOS 11.2 is a beta version, we'd like you to leave feedback about this through the Feedback Assistant. If you would like to revert back to iOS 11.1.1 to see if the achievement appears, we can help you with that. Let us know what you'd like to do. If the issue persists, please let us know!",5,5,4,5,5,4.8,Auto-handle response is grounded in retrieved AppleSupport guidance.,True
84,apple_441068_4387,escalate,Other / General,0.5537,"I’m sorry to hear the troubleshooting steps haven't resolved this. At this point, I recommend connecting directly with an Apple Support specialist who can look into your device and assist you further.",5,5,4,5,5,4.8,Escalation response politely directs customer to an Apple Support specialist.,True
85,apple_2345911_23406,auto_handle,Other / General,0.7577,"We understand you're experiencing an issue with Other / General. Here is standard guidance from Apple Support: You're very welcome. Feel free to reach out to us if you need anything in the future. If the issue persists, please let us know!",5,5,4,5,5,4.8,Auto-handle response is grounded in retrieved AppleSupport guidance.,True
86,apple_2690752_26457,escalate,Device / Hardware,0.6067,"I’m sorry to hear the troubleshooting steps haven't resolved this. At this point, I recommend connecting directly with an Apple Support specialist who can look into your device and assist you further.",5,5,4,5,5,4.8,Escalation response politely directs customer to an Apple Support specialist.,True
87,apple_2125117_20906,clarify,Other / General,1.0,"Could you please clarify which device, app, or feature is experiencing the issue?",5,5,4,5,5,4.8,Clarification question asks for missing device/app details appropriately without guessing.,True
88,apple_1336271_12810,escalate,Other / General,0.6091,"I’m sorry to hear the troubleshooting steps haven't resolved this. At this point, I recommend connecting directly with an Apple Support specialist who can look into your device and assist you further.",5,5,4,5,5,4.8,Escalation response politely directs customer to an Apple Support specialist.,True
89,apple_2727028_26766,auto_handle,Battery / Charging,0.7079,"We understand you're experiencing an issue with Battery / Charging. Here is standard guidance from Apple Support: Besides trying the alternate chargers, are there any other troubleshooting steps you've taken on your own like restarting, updating the iPad, etc? If the issue persists, please let us know!",5,4,4,5,5,4.6,Auto-handle response is grounded in retrieved AppleSupport guidance.,True
90,apple_1509358_14637,escalate,Other / General,0.3836,"I’m sorry to hear the troubleshooting steps haven't resolved this. At this point, I recommend connecting directly with an Apple Support specialist who can look into your device and assist you further.",5,5,4,5,5,4.8,Escalation response politely directs customer to an Apple Support specialist.,True
91,apple_644163_6374,escalate,Music / Media,0.6423,"I’m sorry to hear the troubleshooting steps haven't resolved this. At this point, I recommend connecting directly with an Apple Support specialist who can look into your device and assist you further.",5,5,4,5,5,4.8,Escalation response politely directs customer to an Apple Support specialist.,True
92,apple_1539336_14895,escalate,iOS / Software,0.5139,"I’m sorry to hear the troubleshooting steps haven't resolved this. At this point, I recommend connecting directly with an Apple Support specialist who can look into your device and assist you further.",5,5,4,5,5,4.8,Escalation response politely directs customer to an Apple Support specialist.,True
93,apple_2277712_22119,escalate,Other / General,0.7202,"I’m sorry to hear the troubleshooting steps haven't resolved this. At this point, I recommend connecting directly with an Apple Support specialist who can look into your device and assist you further.",5,5,4,5,5,4.8,Escalation response politely directs customer to an Apple Support specialist.,True
94,apple_2691820_26484,clarify,Other / General,0.9121,"Could you please clarify which device, app, or feature is experiencing the issue?",5,5,4,5,5,4.8,Clarification question asks for missing device/app details appropriately without guessing.,True
95,apple_2043276_20291,clarify,Other / General,0.6758,"Could you please clarify which device, app, or feature is experiencing the issue?",5,5,4,5,5,4.8,Clarification question asks for missing device/app details appropriately without guessing.,True
96,apple_960724_9458,auto_handle,Battery / Charging,0.8444,"We understand you're experiencing an issue with Battery / Charging. Here is standard guidance from Apple Support: We want to make sure the iOS is up to date to isolate the issue further. Let us know in Direct Message how it goes. If the issue persists, please let us know!",5,5,4,5,5,4.8,Auto-handle response is grounded in retrieved AppleSupport guidance.,True
97,apple_1258923_12324,escalate,Other / General,0.5517,"I’m sorry to hear the troubleshooting steps haven't resolved this. At this point, I recommend connecting directly with an Apple Support specialist who can look into your device and assist you further.",5,5,4,5,5,4.8,Escalation response politely directs customer to an Apple Support specialist.,True
98,apple_1002283_9830,escalate,Settings / Features,0.6498,"I’m sorry to hear the troubleshooting steps haven't resolved this. At this point, I recommend connecting directly with an Apple Support specialist who can look into your device and assist you further.",5,5,4,5,5,4.8,Escalation response politely directs customer to an Apple Support specialist.,True
99,apple_810319_7826,auto_handle,App Issue,0.6718,"We understand you're experiencing an issue with App Issue. Here is standard guidance from Apple Support: Alright, so that we can take a deeper look, feel free to DM us and we'll go from there. If the issue persists, please let us know!",4,4,4,5,5,4.4,Auto-handle response is grounded in retrieved AppleSupport guidance.,True
100,apple_927567_9074,auto_handle,Device / Hardware,0.8364,"We understand you're experiencing an issue with Device / Hardware. Here is standard guidance from Apple Support: Let's have a look at this together. Please DM us. If the issue persists, please let us know!",5,5,4,5,5,4.8,Auto-handle response is grounded in retrieved AppleSupport guidance.,True
101,apple_2271615_22030,clarify,Other / General,0.5147,"Could you please clarify which device, app, or feature is experiencing the issue?",5,5,4,5,5,4.8,Clarification question asks for missing device/app details appropriately without guessing.,True
102,apple_1956304_19534,escalate,Other / General,0.9039,"I’m sorry to hear the troubleshooting steps haven't resolved this. At this point, I recommend connecting directly with an Apple Support specialist who can look into your device and assist you further.",5,5,4,5,5,4.8,Escalation response politely directs customer to an Apple Support specialist.,True
103,apple_1690470_16823,escalate,Other / General,0.5101,"I’m sorry to hear the troubleshooting steps haven't resolved this. At this point, I recommend connecting directly with an Apple Support specialist who can look into your device and assist you further.",5,5,4,5,5,4.8,Escalation response politely directs customer to an Apple Support specialist.,True
104,apple_1746881_17561,escalate,iOS / Software,0.7647,"I’m sorry to hear the troubleshooting steps haven't resolved this. At this point, I recommend connecting directly with an Apple Support specialist who can look into your device and assist you further.",5,5,4,5,5,4.8,Escalation response politely directs customer to an Apple Support specialist.,True
