gold_id,conversation_id,latest_customer_message,predicted_intent,intent_confidence,top_similarity,escalation_category,reason
66,apple_2350807_23478,@AppleSupport Charging and draining quick,Battery / Charging,0.8759,0.6425,insufficient retrieval evidence,Historical evidence is insufficient (Top retrieval similarity (0.6425) is below minimum confidence threshold (0.65).). Escalating to human specialist.
73,apple_125796_1188,@AppleSupport This can’t be the first time this has happened.,Other / General,0.4435,0.6742,low intent confidence,Intent classification confidence (0.44) is below safe threshold (0.60). Escalating to human specialist.
74,apple_302929_2916,@AppleSupport well um for starters it shuts off @ 75% and doesn’t turn back on half the time. it’s extremely glitchy and so much more.,Other / General,0.3138,0.6185,insufficient retrieval evidence,Historical evidence is insufficient (Top retrieval similarity (0.6185) is below minimum confidence threshold (0.65).). Escalating to human specialist.
75,apple_802459_7719,"@AppleSupport They held down the home button and the sleep/wake button. However, I don't think they put it into recovery mode. They took the phone from me",Device / Hardware,0.9089,0.6053,insufficient retrieval evidence,Historical evidence is insufficient (Top retrieval similarity (0.6053) is below minimum confidence threshold (0.65).). Escalating to human specialist.
76,apple_954225_9396,"@AppleSupport No, they literally just disappeared :(",Other / General,0.5538,0.6899,low intent confidence,Intent classification confidence (0.55) is below safe threshold (0.60). Escalating to human specialist.
79,apple_619408_6119,@AppleSupport Done! Looking for immediate assistance and quick solution,Other / General,0.4908,0.6316,insufficient retrieval evidence,Historical evidence is insufficient (Top retrieval similarity (0.6316) is below minimum confidence threshold (0.65).). Escalating to human specialist.
80,apple_1441526_13985,@AppleSupport Just did. Should it help with lag time and battery life? Thanks,Battery / Charging,0.4969,0.7662,low intent confidence,Intent classification confidence (0.50) is below safe threshold (0.60). Escalating to human specialist.
82,apple_2369461_23749,@AppleSupport Testing!,iCloud / Backup / Data,0.797,0.5231,insufficient retrieval evidence,Historical evidence is insufficient (Top retrieval similarity (0.5231) is below minimum confidence threshold (0.65).). Escalating to human specialist.
84,apple_441068_4387,@AppleSupport No only have IPad and spend more time with it than my wife!,Other / General,0.4284,0.5537,insufficient retrieval evidence,Historical evidence is insufficient (Top retrieval similarity (0.5537) is below minimum confidence threshold (0.65).). Escalating to human specialist.
86,apple_2690752_26457,"@AppleSupport Tried all possible methods but none of them work, NOTHING. After latest update the screen went grey and then black. The only sign of life is the sound when plugging in to a pc.",Device / Hardware,0.716,0.6067,insufficient retrieval evidence,Historical evidence is insufficient (Top retrieval similarity (0.6067) is below minimum confidence threshold (0.65).). Escalating to human specialist.
88,apple_1336271_12810,@AppleSupport I got an order confirmed but why wouldn't your store let me in for the first 10 minutes last night? I'd prepped everything and am locked out until late November. Meanwhile my wife ordered from AT&amp;T this morning (8 hours later) and will get her phone earlier.,Other / General,0.3218,0.6091,insufficient retrieval evidence,Historical evidence is insufficient (Top retrieval similarity (0.6091) is below minimum confidence threshold (0.65).). Escalating to human specialist.
90,apple_1509358_14637,@AppleSupport Thanks. We can only change temperature unit. I want to change Wind speed and visibility to kilometers. Is it possible?,Other / General,0.4902,0.3836,insufficient retrieval evidence,Historical evidence is insufficient (Top retrieval similarity (0.3836) is below minimum confidence threshold (0.65).). Escalating to human specialist.
91,apple_644163_6374,@AppleSupport Why are my Apple devices falling apart with the update. My phone can’t play podcasts anymore and my watch is unresponsive to touch in dock,Music / Media,0.3505,0.6423,insufficient retrieval evidence,Historical evidence is insufficient (Top retrieval similarity (0.6423) is below minimum confidence threshold (0.65).). Escalating to human specialist.
92,apple_1539336_14895,@AppleSupport Update: it has been two days since I update to 10.13.1 and have not had the issue yet!,iOS / Software,0.7269,0.5139,insufficient retrieval evidence,Historical evidence is insufficient (Top retrieval similarity (0.5139) is below minimum confidence threshold (0.65).). Escalating to human specialist.
97,apple_1258923_12324,"@AppleSupport I visited an Apple Store at Fifth Avenue yesterday with a friend. The Genius Bar host (guy who checks in people) was very rude to us, twice",Other / General,0.435,0.5517,insufficient retrieval evidence,Historical evidence is insufficient (Top retrieval similarity (0.5517) is below minimum confidence threshold (0.65).). Escalating to human specialist.
98,apple_1002283_9830,@AppleSupport If I had to feedback... I don’t like getting updates &amp; then having to reset all my settings because they’ve changed to new format/operation,Settings / Features,0.7429,0.6498,insufficient retrieval evidence,Historical evidence is insufficient (Top retrieval similarity (0.6498) is below minimum confidence threshold (0.65).). Escalating to human specialist.
102,apple_1956304_19534,@AppleSupport Yes it is enabled. Now I disabled,Other / General,0.4559,0.9039,low intent confidence,Intent classification confidence (0.46) is below safe threshold (0.60). Escalating to human specialist.
103,apple_1690470_16823,@AppleSupport @513208 This is stupid and disgraceful from an innovative IT company,Other / General,0.4032,0.5101,insufficient retrieval evidence,Historical evidence is insufficient (Top retrieval similarity (0.5101) is below minimum confidence threshold (0.65).). Escalating to human specialist.
104,apple_1746881_17561,@AppleSupport My phone is dying with usage that normally would last all day,iOS / Software,0.4852,0.7647,low intent confidence,Intent classification confidence (0.49) is below safe threshold (0.60). Escalating to human specialist.
105,apple_2960121_28570,@AppleSupport Thank you at least I got a reply from you guys,Other / General,0.7385,0.5824,insufficient retrieval evidence,Historical evidence is insufficient (Top retrieval similarity (0.5824) is below minimum confidence threshold (0.65).). Escalating to human specialist.
107,apple_2500855_24978,"@AppleSupport Thanks! 👍 Any issues, pitfalls, or gotchas going from gen4 to 2017 model? Alternatively, is there a way to just pull data (eg photos) from the iCloud backup?",iCloud / Backup / Data,0.9901,0.5523,insufficient retrieval evidence,Historical evidence is insufficient (Top retrieval similarity (0.5523) is below minimum confidence threshold (0.65).). Escalating to human specialist.
108,apple_366020_3606,@AppleSupport I did jumped through all your hoops was told by @AppleSupport and @115858 that this wasn’t a burn and it’s just a skin irritation,Other / General,0.3427,0.4209,insufficient retrieval evidence,Historical evidence is insufficient (Top retrieval similarity (0.4209) is below minimum confidence threshold (0.65).). Escalating to human specialist.
114,apple_2972460_28679,"@AppleSupport Oh dear Apple Support...it was more of a yes/no question. If I have to make a support case to get a simple answer, why do I have this product?",Other / General,0.4363,0.7345,low intent confidence,Intent classification confidence (0.44) is below safe threshold (0.60). Escalating to human specialist.
117,apple_2276656_22093,@AppleSupport Bit worried now - it has frozen 5 times in last 24 hours and just turned itself off for 10 mins just now,iOS / Software,0.3656,0.6864,low intent confidence,Intent classification confidence (0.37) is below safe threshold (0.60). Escalating to human specialist.
118,apple_1519148_19835,"@AppleSupport @472348 All phones glitch, apple glitches far less than any android on the market.",iOS / Software,0.5469,0.7514,low intent confidence,Intent classification confidence (0.55) is below safe threshold (0.60). Escalating to human specialist.
122,apple_1588183_15487,@AppleSupport I already to that but nothing will help I lost my amazing memory was taken in Dubai last month tell how I will get it back.,iOS / Software,0.2514,0.6118,insufficient retrieval evidence,Historical evidence is insufficient (Top retrieval similarity (0.6118) is below minimum confidence threshold (0.65).). Escalating to human specialist.
127,apple_1590549_15517,@AppleSupport Managed to get them all downloaded 5 hours later.,Other / General,0.3934,0.6733,low intent confidence,Intent classification confidence (0.39) is below safe threshold (0.60). Escalating to human specialist.
129,apple_2321157_23257,@AppleSupport Canım hiç öpmim yılan sevmiyorum 😊,Other / General,0.5048,0.6351,insufficient retrieval evidence,Historical evidence is insufficient (Top retrieval similarity (0.6351) is below minimum confidence threshold (0.65).). Escalating to human specialist.
130,apple_2750525_27047,"@AppleSupport Like 4/5 days ago, I’ve used the same Bluetooth headphones ever since I got my 7 plus",Connectivity,0.6646,0.6339,insufficient retrieval evidence,Historical evidence is insufficient (Top retrieval similarity (0.6339) is below minimum confidence threshold (0.65).). Escalating to human specialist.
131,apple_1836268_18587,"@AppleSupport Sure, I am checking and will respond within a while",Other / General,0.486,0.5434,insufficient retrieval evidence,Historical evidence is insufficient (Top retrieval similarity (0.5434) is below minimum confidence threshold (0.65).). Escalating to human specialist.
132,apple_1058922_10370,@AppleSupport The call is not on lock mode. It used to just show the name on the lock screen and I would either have to tap on the call to access it or...,Device / Hardware,0.9597,0.6168,insufficient retrieval evidence,Historical evidence is insufficient (Top retrieval similarity (0.6168) is below minimum confidence threshold (0.65).). Escalating to human specialist.
133,apple_1767355_17991,@AppleSupport Will we then have to go in and reset that when the update fixes the original problem?,iOS / Software,0.7301,0.6258,insufficient retrieval evidence,Historical evidence is insufficient (Top retrieval similarity (0.6258) is below minimum confidence threshold (0.65).). Escalating to human specialist.
134,apple_848302_8172,@AppleSupport No option to connect iPhone to my wifi router with WPS,Other / General,0.3576,0.506,insufficient retrieval evidence,Historical evidence is insufficient (Top retrieval similarity (0.5060) is below minimum confidence threshold (0.65).). Escalating to human specialist.
135,apple_2287407_22466,@AppleSupport Sometimes it occurs more than once a day.,Other / General,0.2322,0.7423,low intent confidence,Intent classification confidence (0.23) is below safe threshold (0.60). Escalating to human specialist.
136,apple_1616703_15760,@AppleSupport @495774 Okay but you are actually fixing the issue right?,Other / General,0.4616,0.6101,insufficient retrieval evidence,Historical evidence is insufficient (Top retrieval similarity (0.6101) is below minimum confidence threshold (0.65).). Escalating to human specialist.
138,apple_2888385_28012,@AppleSupport I️ sent you all of my detective work and @123765 banned the feature for hitting the DMs too hard🤷🏻‍♀️,Other / General,0.5901,0.6003,insufficient retrieval evidence,Historical evidence is insufficient (Top retrieval similarity (0.6003) is below minimum confidence threshold (0.65).). Escalating to human specialist.
141,apple_299026_2845,@AppleSupport Thanks. No I’m getting the updates. But they very rarely work when I click them in notification centre. If they do open then they don’t 1/2,Settings / Features,0.3501,0.692,low intent confidence,Intent classification confidence (0.35) is below safe threshold (0.60). Escalating to human specialist.
142,apple_1635185_16061,"@AppleSupport @500190 I see the suggested workaround, but any idea as to how it surfaces? I don’t have it, but my wife does, so trying to avoid it happening to me",Other / General,0.4547,0.5622,insufficient retrieval evidence,Historical evidence is insufficient (Top retrieval similarity (0.5622) is below minimum confidence threshold (0.65).). Escalating to human specialist.
143,apple_2238185_21770,@AppleSupport Yes 11.0.3 (15a432) is that the version you are asking about?,Other / General,0.4316,0.6382,insufficient retrieval evidence,Historical evidence is insufficient (Top retrieval similarity (0.6382) is below minimum confidence threshold (0.65).). Escalating to human specialist.
144,apple_559132_5481,@AppleSupport I will be disembarking the ship in three hours looking for an Apple Store Manhattan Beach,Battery / Charging,0.4167,0.5399,insufficient retrieval evidence,Historical evidence is insufficient (Top retrieval similarity (0.5399) is below minimum confidence threshold (0.65).). Escalating to human specialist.
145,apple_2253474_21848,"@AppleSupport It happens on all apps. Yet, when I place an object up close it focuses.",Other / General,0.4821,0.6301,insufficient retrieval evidence,Historical evidence is insufficient (Top retrieval similarity (0.6301) is below minimum confidence threshold (0.65).). Escalating to human specialist.
147,apple_1681542_16716,"@AppleSupport It didn’t do anything! What now? Are you guys gonna fix it? Get someone to work overnight to fix it, you definitely have he payroll.",Other / General,0.5377,0.594,insufficient retrieval evidence,Historical evidence is insufficient (Top retrieval similarity (0.5940) is below minimum confidence threshold (0.65).). Escalating to human specialist.
149,apple_1643316_16216,@AppleSupport Really? Cause every time I try to get the problem resolved I’m told I’ll have to wait “a week or two” and here we are six months later,Other / General,0.3242,0.5742,insufficient retrieval evidence,Historical evidence is insufficient (Top retrieval similarity (0.5742) is below minimum confidence threshold (0.65).). Escalating to human specialist.
151,apple_1638934_16120,@AppleSupport No that's fine - was just worried about this - [LINK] which another tweeter informed me is being patched by apple..,Other / General,0.3024,0.7125,low intent confidence,Intent classification confidence (0.30) is below safe threshold (0.60). Escalating to human specialist.
155,apple_1776312_18227,@AppleSupport I wonder if this worked. I did the steps. I’m using I a lot for a reason,Other / General,0.5001,0.7902,low intent confidence,Intent classification confidence (0.50) is below safe threshold (0.60). Escalating to human specialist.
156,apple_1234747_12156,@AppleSupport 11.0.3 I restarted after I did the update recently and I just restarted now and it seems to have cleared up.,iOS / Software,0.4614,0.6773,low intent confidence,Intent classification confidence (0.46) is below safe threshold (0.60). Escalating to human specialist.
157,apple_1679978_16689,@AppleSupport tried... got no response...,Other / General,0.4911,0.6769,low intent confidence,Intent classification confidence (0.49) is below safe threshold (0.60). Escalating to human specialist.
162,apple_79996_767,@AppleSupport I talked to Apple support on the phone. Thank you tho,Other / General,0.3426,0.9001,low intent confidence,Intent classification confidence (0.34) is below safe threshold (0.60). Escalating to human specialist.
164,apple_1087763_10718,"@AppleSupport Available for download, honestly that’s the best solution. Then at least my battery life would last a good 6hrs not 1hr and 40 minutes!-",Battery / Charging,0.9545,0.5617,insufficient retrieval evidence,Historical evidence is insufficient (Top retrieval similarity (0.5617) is below minimum confidence threshold (0.65).). Escalating to human specialist.
165,apple_2631501_28576,"@AppleSupport @743062 Even if you speak English, you can help us with your crappy update!",iOS / Software,0.4214,0.569,insufficient retrieval evidence,Historical evidence is insufficient (Top retrieval similarity (0.5690) is below minimum confidence threshold (0.65).). Escalating to human specialist.
168,apple_2492353_24908,@AppleSupport Thank you. Sorry for my harshness,Other / General,0.8098,0.5009,insufficient retrieval evidence,Historical evidence is insufficient (Top retrieval similarity (0.5009) is below minimum confidence threshold (0.65).). Escalating to human specialist.
169,apple_1267179_12369,@AppleSupport Apple is not selling wireless chargers ?,Other / General,0.4371,0.6063,insufficient retrieval evidence,Historical evidence is insufficient (Top retrieval similarity (0.6063) is below minimum confidence threshold (0.65).). Escalating to human specialist.
172,apple_938111_9183,"@AppleSupport @342368 Due to the update, for the first time ever I looked into getting a Samsung.",iOS / Software,0.5011,0.6737,low intent confidence,Intent classification confidence (0.50) is below safe threshold (0.60). Escalating to human specialist.
173,apple_2291549_22534,@AppleSupport Being experiencing it since i noticed it I guess 2/3 weeks back.,iOS / Software,0.5191,0.7845,low intent confidence,Intent classification confidence (0.52) is below safe threshold (0.60). Escalating to human specialist.
177,apple_354552_3446,@AppleSupport Apologies. I didnt know it was out. Doing so now. Thanks! I will see what that does,Other / General,0.6796,0.6101,insufficient retrieval evidence,Historical evidence is insufficient (Top retrieval similarity (0.6101) is below minimum confidence threshold (0.65).). Escalating to human specialist.
178,apple_1773360_18160,@AppleSupport Just fix it don’t give me a time wasting solution. You fucked it up and we pay for your toys. Fix it and don’t waste my time. I’m the customer! How selfish is @115858 not to fix the problem instead telling me to do more work for their error?,App Store / Purchases,0.3123,0.5442,insufficient retrieval evidence,Historical evidence is insufficient (Top retrieval similarity (0.5442) is below minimum confidence threshold (0.65).). Escalating to human specialist.
180,apple_781849_7547,"@AppleSupport Why? You only offer the option for me to call you and from what I can tell, all you'll tell me is I should film in the old codecs.",Other / General,0.4377,0.4581,insufficient retrieval evidence,Historical evidence is insufficient (Top retrieval similarity (0.4581) is below minimum confidence threshold (0.65).). Escalating to human specialist.
182,apple_1201131_11797,@AppleSupport Thank You. Hoping it was. I’m sure you’re looking at it,Other / General,0.7853,0.5034,insufficient retrieval evidence,Historical evidence is insufficient (Top retrieval similarity (0.5034) is below minimum confidence threshold (0.65).). Escalating to human specialist.
183,apple_255555_2396,"@AppleSupport 11.0.2 i have a iPhone 7+ (red) it’s just trash always force closing , turns off , freezing for like two mins y’all boys need to tighten up",iOS / Software,0.3605,0.7373,low intent confidence,Intent classification confidence (0.36) is below safe threshold (0.60). Escalating to human specialist.
185,apple_1300739_12634,"@AppleSupport Every time I try to use the finger print to unlock my phone it does not work. It’s no big deal, just upsetting that it will not work.",Other / General,0.419,0.7299,low intent confidence,Intent classification confidence (0.42) is below safe threshold (0.60). Escalating to human specialist.
190,apple_811789_7850,@AppleSupport No. Just paired and then disabled but still able to control iTunes from remote.,Music / Media,0.7842,0.5824,insufficient retrieval evidence,Historical evidence is insufficient (Top retrieval similarity (0.5824) is below minimum confidence threshold (0.65).). Escalating to human specialist.
192,apple_2572064_25609,@AppleSupport my preorder got cancelled and then i had to buy the album and then later on i got the email about the preorder being ready to download. i did all the preorder steps before it got cancelled but i got it figured it out now!,Other / General,0.3157,0.785,low intent confidence,Intent classification confidence (0.32) is below safe threshold (0.60). Escalating to human specialist.
193,apple_505193_4843,@AppleSupport iPhone 6+. Every app takes ages to open. I have done all the things suggested in forums including a factory re-set. No improvement whatsoever. The degradation in performance occurred immediately following the last upgrade.,iOS / Software,0.1872,0.7649,low intent confidence,Intent classification confidence (0.19) is below safe threshold (0.60). Escalating to human specialist.
194,apple_414031_4166,@AppleSupport Y’all gone reply or nah,Other / General,0.5471,0.5491,insufficient retrieval evidence,Historical evidence is insufficient (Top retrieval similarity (0.5491) is below minimum confidence threshold (0.65).). Escalating to human specialist.
195,apple_1964010_19605,@AppleSupport @176635 is there any official site to buy #Iphone through online site?,Apple ID / Account,0.8557,0.6248,insufficient retrieval evidence,Historical evidence is insufficient (Top retrieval similarity (0.6248) is below minimum confidence threshold (0.65).). Escalating to human specialist.
