gold_id,conversation_id,length_bucket,conversation_length,conversation_context,first_customer_message,latest_customer_message,proposed_intent,intent_confidence,proposed_escalate,proposed_escalation_reason,human_intent,human_escalate,human_escalation_reason,review_status,review_notes
16,apple_1571667_15180,medium,3,"AppleSupport: @484565 We want to look into this. Which iOS version are you using on your iPhone 7?
Customer: @AppleSupport 11.0.3
AppleSupport: @484565 Thanks! Let's start by updating the iOS as shown here: [LINK] Be sure to create a backup before beginning. [LINK]",@AppleSupport 11.0.3,@AppleSupport 11.0.3,Other / General,LOW,YES,Insufficient actionable context,Other / General,NO,,REVIEWED,Intent confirmed; escalation flag changed from YES to NO.
17,apple_2552549_25409,long,5,"AppleSupport: @725039 We're here to help. Thanks for reaching out to us. What was the exact version of iOS you were using before you updated to 11.1.1?
Customer: @AppleSupport It was 11.1
AppleSupport: @725039 Thank you for letting us know. To confirm, you've only begun having these issues since the iOS 11.1.1 update? Also, have you had a chance to restart since updating. Let us know in DM. [LINK]
Customer: @AppleSupport Yes
AppleSupport: @725039 Thanks for confirming that for us. We recently released iOS 11.1.2. Can you install that and let us know via DM if it helps? [LINK] [LINK]",@AppleSupport It was 11.1,@AppleSupport Yes,Other / General,LOW,YES,Insufficient actionable context,iOS / Software,NO,,REVIEWED,Intent corrected from 'Other / General' to 'iOS / Software'; escalation flag changed from YES to NO.
18,apple_1470098_14317,medium,3,"AppleSupport: @461220 We want to help today. Which model iPhone do you have, and what version of iOS shows in Settings &gt; General &gt; About?
Customer: @AppleSupport 6s &amp; updated it today to iOS 11.1 which showed as an update when I clicked on software update I wil see if this is better than last update
AppleSupport: @461220 Thank you for this information. If issues continue after the update, send us a DM and we'll work together from there. [LINK]",@AppleSupport 6s &amp; updated it today to iOS 11.1 which showed as an update when I clicked on software update I wil see if this is better than last update,@AppleSupport 6s &amp; updated it today to iOS 11.1 which showed as an update when I clicked on software update I wil see if this is better than last update,iOS / Software,HIGH,NO,Standard support issue,iOS / Software,NO,,REVIEWED,Intent confirmed; escalation flag confirmed.
19,apple_2118374_20802,short,2,"AppleSupport: @624309 Thanks for reaching out. Is the update for iTunes? Let us know in a DM and we'll do our best to help out from there. [LINK]
Customer: @AppleSupport DM Sent",@AppleSupport DM Sent,@AppleSupport DM Sent,Other / General,LOW,YES,Insufficient actionable context,Music / Media,NO,,REVIEWED,Intent corrected from 'Other / General' to 'Music / Media'; escalation flag changed from YES to NO.
20,apple_745135_7213,medium,3,"AppleSupport: @298129 We'd like to see why this is happening. DM us which iOS version you have in Settings &gt; General &gt; About to get started. [LINK]
Customer: @AppleSupport Just replied 👍🏻
AppleSupport: @298129 Perfect. We received your DM, and we'll follow up there shortly to see how we can help. [LINK]",@AppleSupport Just replied 👍🏻,@AppleSupport Just replied 👍🏻,Other / General,LOW,YES,Insufficient actionable context,Settings / Features,NO,,REVIEWED,Intent corrected from 'Other / General' to 'Settings / Features'; escalation flag changed from YES to NO.
21,apple_361058_3544,short,2,"AppleSupport: @201494 We offer support via Twitter in English. Contact us for help in your preferred language here: [LINK]
Customer: @AppleSupport My problem is solved! Thanks anyway. 👍🏻",@AppleSupport My problem is solved! Thanks anyway. 👍🏻,@AppleSupport My problem is solved! Thanks anyway. 👍🏻,Other / General,LOW,NO,Standard support issue,Other / General,NO,,REVIEWED,Intent confirmed; escalation flag confirmed.
22,apple_370351_3694,short,2,"AppleSupport: @203709 Let’s look into this together. Which iPhone model and iOS 11 version are you using? 11.0.2 is the current version.
Customer: @AppleSupport So see how I cannot write a message I have to restart my phone every time [LINK]",@AppleSupport So see how I cannot write a message I have to restart my phone every time [LINK],@AppleSupport So see how I cannot write a message I have to restart my phone every time [LINK],iOS / Software,MEDIUM,NO,Standard support issue,iOS / Software,NO,,REVIEWED,Intent confirmed; escalation flag confirmed.
23,apple_766240_7445,short,2,"AppleSupport: @303125 The site is still working normally. Let's take a look together and figure out what is occurring. Which device is this on?
Customer: @AppleSupport Only seems to be doing this in Chrome. Tried it in FF and Safari and it seems fine. Cleared cache and hosted app data in Chrome as well.",@AppleSupport Only seems to be doing this in Chrome. Tried it in FF and Safari and it seems fine. Cleared cache and hosted app data in Chrome as well.,@AppleSupport Only seems to be doing this in Chrome. Tried it in FF and Safari and it seems fine. Cleared cache and hosted app data in Chrome as well.,App Issue,MEDIUM,NO,Standard support issue,App Issue,NO,,REVIEWED,Intent confirmed; escalation flag confirmed.
24,apple_2740759_26927,medium,3,"AppleSupport: @585276 We can look into this with you now. What version of iOS 11 are you having this trouble with?
Customer: @AppleSupport 11.0.3 which I installed 2 weeks ago. I bought the iPhone 7 in Sept 17, marvelled at its long batter life only to have it severely diminished due to the update
AppleSupport: @585276 Thank you for this information. Once updated, please reach out to us in DM if you're still having issues. [LINK]","@AppleSupport 11.0.3 which I installed 2 weeks ago. I bought the iPhone 7 in Sept 17, marvelled at its long batter life only to have it severely diminished due to the update","@AppleSupport 11.0.3 which I installed 2 weeks ago. I bought the iPhone 7 in Sept 17, marvelled at its long batter life only to have it severely diminished due to the update",iOS / Software,MEDIUM,NO,Standard support issue,iOS / Software,NO,,REVIEWED,Intent confirmed; escalation flag confirmed.
25,apple_649802_6434,medium,3,"AppleSupport: @274467 We'd be happy to look into this with you. What device is this happening with and what's the exact iOS version installed? Let us know in a DM &amp; we'll work together there. [LINK]
Customer: @AppleSupport iPhone 7, version 10.3.3
AppleSupport: @274467 Thanks. DM us and we'll take a closer look there. [LINK]","@AppleSupport iPhone 7, version 10.3.3","@AppleSupport iPhone 7, version 10.3.3",Other / General,LOW,NO,Standard support issue,iOS / Software,NO,,REVIEWED,Intent corrected from 'Other / General' to 'iOS / Software'; escalation flag confirmed.
26,apple_1711965_17227,medium,3,"AppleSupport: @162048 Here’s what you can do to work around the issue until it’s fixed in a future software update: [LINK]
Customer: @AppleSupport Doesn’t work @AppleSupport 😣
AppleSupport: @162048 Let's take a closer look at this together. DM us and we'll get started. [LINK]",@AppleSupport Doesn’t work @AppleSupport 😣,@AppleSupport Doesn’t work @AppleSupport 😣,Other / General,LOW,NO,Standard support issue,iOS / Software,YES,Issue remains unresolved after troubleshooting,REVIEWED,Intent corrected from 'Other / General' to 'iOS / Software'; escalation flag changed from NO to YES.
27,apple_354527_3442,long,7,"AppleSupport: @200266 Happy to help out with the issues on your iPhone 6s. Which iOS does this occur on? Also, are there any app updates showing?
Customer: @AppleSupport iOS 11 usually Facebook will freeze and Instagram runs really slow and crashes damn near everything on the phone is laggy
AppleSupport: @200266 Thank you for letting us know that you're having trouble. Which version of iOS are you using under Settings &gt; General &gt; About?
Customer: @AppleSupport iOS 11.0.3 and all my apps have been updated
AppleSupport: @200266 Thank you! Let's try the steps in this article for the apps giving you trouble: [LINK] DM us if you need help. [LINK]
Customer: @AppleSupport So your best answer is pretty much turn my phone off and back on or close the app and restart it.....
AppleSupport: @200266 That is the first step we would like to try. If that doesn’t do the trick, we will continue looking into this in DM. [LINK]",@AppleSupport iOS 11 usually Facebook will freeze and Instagram runs really slow and crashes damn near everything on the phone is laggy,@AppleSupport So your best answer is pretty much turn my phone off and back on or close the app and restart it.....,iOS / Software,HIGH,NO,Standard support issue,App Issue,NO,,REVIEWED,Intent corrected from 'iOS / Software' to 'App Issue'; escalation flag confirmed.
28,apple_1120631_10962,long,5,"AppleSupport: @384368 We'd be happy to see how we can help. Which device and OS version are you currently using?
Customer: @AppleSupport IPhone 7 Plus on iOS 11.0.3 &amp; Apple Watch on watchos4
AppleSupport: @384368 Does the workout show the same in the Activity app on your Apple Watch?
Customer: @AppleSupport Yes ..something is wrong.. seeing lot of complains 4rm users for similar issue [LINK]
AppleSupport: @384368 Let's go ahead and move to DM so we can gather a bit more info: [LINK]",@AppleSupport IPhone 7 Plus on iOS 11.0.3 &amp; Apple Watch on watchos4,@AppleSupport Yes ..something is wrong.. seeing lot of complains 4rm users for similar issue [LINK],iOS / Software,HIGH,NO,Standard support issue,iOS / Software,NO,,REVIEWED,Intent confirmed; escalation flag confirmed.
29,apple_612853_5955,medium,3,"AppleSupport: Seeing an i️ whenever you type “i"" in iOS 11.1? Fix it by installing the latest software update. [LINK]
Customer: @AppleSupport My iPhone won't let me update the new iOS I've been trying for almost a month and it won't let me, i have and iPhone 7!!
AppleSupport: @645373 Thanks for reaching out to us. We certainly want to help out with this. Have you tried updating using iTunes?","@AppleSupport My iPhone won't let me update the new iOS I've been trying for almost a month and it won't let me, i have and iPhone 7!!","@AppleSupport My iPhone won't let me update the new iOS I've been trying for almost a month and it won't let me, i have and iPhone 7!!",iOS / Software,HIGH,NO,Standard support issue,iOS / Software,NO,,REVIEWED,Intent confirmed; escalation flag confirmed.
30,apple_1919794_19215,short,2,"AppleSupport: @571548 We can help with that. You can review your repair status and other details here: [LINK] DM us any questions. [LINK]
Customer: @AppleSupport Yeah, see that's what I thought. Except I enter UN/Pass, do the 2-factor auth. and it refreshes and asks me to sign in again...","@AppleSupport Yeah, see that's what I thought. Except I enter UN/Pass, do the 2-factor auth. and it refreshes and asks me to sign in again...","@AppleSupport Yeah, see that's what I thought. Except I enter UN/Pass, do the 2-factor auth. and it refreshes and asks me to sign in again...",Apple ID / Account,MEDIUM,NO,Standard support issue,Apple ID / Account,NO,,REVIEWED,Intent confirmed; escalation flag confirmed.
31,apple_654399_6478,short,2,"AppleSupport: @275669 We'll gladly work together with you on this. Which iOS version is currently installed? Also, can you provide us with more details about what you're experiencing? DM us your response. [LINK]
Customer: @AppleSupport I’ve searched msg boards and have found my challenge to be common complaint. Troubleshooting is to no avail - please push an update to 11.1.2. Location services is running constant - only way to prevent is to block all together &amp; wifi turns on w/o request &amp; not on known networks",@AppleSupport I’ve searched msg boards and have found my challenge to be common complaint. Troubleshooting is to no avail - please push an update to 11.1.2. Location services is running constant - only way to prevent is to block all together &amp; wifi turns on w/o request &amp; not on known networks,@AppleSupport I’ve searched msg boards and have found my challenge to be common complaint. Troubleshooting is to no avail - please push an update to 11.1.2. Location services is running constant - only way to prevent is to block all together &amp; wifi turns on w/o request &amp; not on known networks,Connectivity,HIGH,NO,Standard support issue,Connectivity,NO,,REVIEWED,Intent confirmed; escalation flag confirmed.
32,apple_1726597_17404,short,2,"AppleSupport: @522186 Here’s what you can do to work around the issue until it’s fixed in a future software update: [LINK]
Customer: @AppleSupport Thank you ☺️",@AppleSupport Thank you ☺️,@AppleSupport Thank you ☺️,Other / General,LOW,YES,Insufficient actionable context,iOS / Software,NO,,REVIEWED,Intent corrected from 'Other / General' to 'iOS / Software'; escalation flag changed from YES to NO.
33,apple_2278853_22163,medium,3,"AppleSupport: @662581 We can help. Here’s a work around for the issue until it’s fixed in a future software update: [LINK]
Customer: @AppleSupport It’s literally everywhere. Not just when I type.
AppleSupport: @662581 Is your iPhone updated to iOS 11.1.1? If so, DM us and let us know where you're seeing the icon when you type. For example, the Mail app or Messages. [LINK]",@AppleSupport It’s literally everywhere. Not just when I type.,@AppleSupport It’s literally everywhere. Not just when I type.,Other / General,LOW,NO,Standard support issue,iOS / Software,NO,,REVIEWED,Intent corrected from 'Other / General' to 'iOS / Software'; escalation flag confirmed.
34,apple_1694918_16885,short,2,"AppleSupport: @514248 We're here to help fix technical issues. What's the model you have and the issue happening with it? Any steps tried?
Customer: @AppleSupport 6s. Apps are freezing Facebook mostly. iMessage is acting funny sometimes won’t let me add pics to a message. Scrolling is slow",@AppleSupport 6s. Apps are freezing Facebook mostly. iMessage is acting funny sometimes won’t let me add pics to a message. Scrolling is slow,@AppleSupport 6s. Apps are freezing Facebook mostly. iMessage is acting funny sometimes won’t let me add pics to a message. Scrolling is slow,Messages / Calling,MEDIUM,NO,Standard support issue,Messages / Calling,NO,,REVIEWED,Intent confirmed; escalation flag confirmed.
35,apple_1007110_9916,short,2,"AppleSupport: @184671 We can look into this issue together. By any chance, have you tried connecting your device to a different Wi-Fi network?
Customer: @AppleSupport what to do ? Still not able to do anything",@AppleSupport what to do ? Still not able to do anything,@AppleSupport what to do ? Still not able to do anything,Other / General,LOW,YES,Issue remains unresolved after troubleshooting,Connectivity,NO,,REVIEWED,Intent corrected from 'Other / General' to 'Connectivity'; escalation flag changed from YES to NO.
36,apple_2731260_26843,long,5,"AppleSupport: @765665 We want to help. Restart your phone and test to see if the charging is not resolved. Let us know the results.
Customer: @AppleSupport Nope. It’s dying faster than a 5c
AppleSupport: @765665 What percent of battery is showing now?
Customer: @AppleSupport 76. Was on 100 30 mins ago
AppleSupport: @765665 OK. Let's continue in DM. [LINK]",@AppleSupport Nope. It’s dying faster than a 5c,@AppleSupport 76. Was on 100 30 mins ago,Other / General,LOW,NO,Standard support issue,Battery / Charging,NO,,REVIEWED,Intent corrected from 'Other / General' to 'Battery / Charging'; escalation flag confirmed.
37,apple_463073_4595,medium,3,"AppleSupport: @225055 Do you have any Bluetooth items connected to the iPhone X? Please DM us and let us know. We'll be happy to further review this for you. [LINK]
Customer: @AppleSupport The only Bluetooth device I have connected to it is my MacBook Pro which has Bluetooth on but I rarely ever use features requiring Bluetooth transmission between the two
AppleSupport: @225055 Got it. What country do you live? Let's continue in DM please. [LINK]",@AppleSupport The only Bluetooth device I have connected to it is my MacBook Pro which has Bluetooth on but I rarely ever use features requiring Bluetooth transmission between the two,@AppleSupport The only Bluetooth device I have connected to it is my MacBook Pro which has Bluetooth on but I rarely ever use features requiring Bluetooth transmission between the two,Connectivity,HIGH,NO,Standard support issue,Connectivity,NO,,REVIEWED,Intent confirmed; escalation flag confirmed.
38,apple_1372470_13296,short,2,"AppleSupport: @439413 Having great battery life is important. Here's how to ensure that you're getting the most out of it: [LINK]
Customer: @AppleSupport I’ve already tried the helpful tips, still no luck. It’s the new update full of bugs, can you note it down to look into it for IOS 11.1.1?","@AppleSupport I’ve already tried the helpful tips, still no luck. It’s the new update full of bugs, can you note it down to look into it for IOS 11.1.1?","@AppleSupport I’ve already tried the helpful tips, still no luck. It’s the new update full of bugs, can you note it down to look into it for IOS 11.1.1?",iOS / Software,HIGH,NO,Standard support issue,iOS / Software,NO,,REVIEWED,Intent confirmed; escalation flag confirmed.
39,apple_2185372_21434,medium,3,"AppleSupport: @640021 Let's help improve the accuracy as much as possible. In this scenario, please check out: [LINK]
Customer: @AppleSupport It’s not about accuracy. I used the activity app in the watch. That’s what said I burned 245 calories. So, the same watch should show 245 calories in the move ring.
AppleSupport: @640021 We understand. Please reach out to us via DM and we can pick up from there. [LINK]","@AppleSupport It’s not about accuracy. I used the activity app in the watch. That’s what said I burned 245 calories. So, the same watch should show 245 calories in the move ring.","@AppleSupport It’s not about accuracy. I used the activity app in the watch. That’s what said I burned 245 calories. So, the same watch should show 245 calories in the move ring.",App Issue,MEDIUM,NO,Standard support issue,App Issue,NO,,REVIEWED,Intent confirmed; escalation flag confirmed.
40,apple_360740_3539,short,2,"AppleSupport: @201419 We’re here to help. Let’s team up in DM and we’ll do our best to assist you. [LINK]
Customer: @AppleSupport We tried that a few weeks ago.",@AppleSupport We tried that a few weeks ago.,@AppleSupport We tried that a few weeks ago.,Other / General,LOW,NO,Standard support issue,Other / General,NO,,REVIEWED,Intent confirmed; escalation flag confirmed.
41,apple_2623985_26042,medium,3,"AppleSupport: @741269 We want to help. It looks like the iTunes window is multiplying. Force quit, then open Finder. Here's how: [LINK]
Customer: @AppleSupport It still happen when I close iTunes 😅 [LINK]
AppleSupport: @741269 OK. Let's boot into safe mode and test to see if the issue happens there. Here's how: [LINK]",@AppleSupport It still happen when I close iTunes 😅 [LINK],@AppleSupport It still happen when I close iTunes 😅 [LINK],Music / Media,MEDIUM,NO,Standard support issue,Music / Media,YES,Issue remains unresolved after troubleshooting,REVIEWED,Intent confirmed; escalation flag changed from NO to YES.
42,apple_1771180_18096,medium,3,"AppleSupport: @532414 Let's see what we can do for you here. Tell us more about what you're experiencing, we'll start from there.
Customer: @AppleSupport Managed to get on a call, gonna have to try to do a walk in at the store. Thanks though 😊
AppleSupport: @532414 No problem, glad you were pointed to the right direction. Feel free to reach back out if you have any additional questions.","@AppleSupport Managed to get on a call, gonna have to try to do a walk in at the store. Thanks though 😊","@AppleSupport Managed to get on a call, gonna have to try to do a walk in at the store. Thanks though 😊",Messages / Calling,MEDIUM,NO,Standard support issue,Messages / Calling,NO,,REVIEWED,Intent confirmed; escalation flag confirmed.
43,apple_1245977_12275,medium,3,"AppleSupport: @412299 This is not the experience we want you to have with the update. What issues are you having?
Customer: @AppleSupport I used beta these issues are same since you guys released first beta of iOS 11. I think iOS 10 was better than this one.
AppleSupport: @412299 Thank you. Please send us a DM and we will look into this together. [LINK]",@AppleSupport I used beta these issues are same since you guys released first beta of iOS 11. I think iOS 10 was better than this one.,@AppleSupport I used beta these issues are same since you guys released first beta of iOS 11. I think iOS 10 was better than this one.,iOS / Software,HIGH,NO,Standard support issue,iOS / Software,NO,,REVIEWED,Intent confirmed; escalation flag confirmed.
44,apple_11132_209,long,5,"AppleSupport: @118105 Did you receive an error message, or were you just prompted to enter in the passcode for your iOS device after the restart?
Customer: @AppleSupport I received an error message. And another when I tried to set it up again in settings
AppleSupport: @118105 Let's give the steps in this article a try, and keep us posted on the results please: [LINK]
Customer: @AppleSupport Tried the steps. Still receiving an error message. Just updated to iOS 11.1 and got the message when my phone restarted
AppleSupport: @118105 Alright, let's continue working on this via DM. Tell us what country you're currently in. [LINK]",@AppleSupport I received an error message. And another when I tried to set it up again in settings,@AppleSupport Tried the steps. Still receiving an error message. Just updated to iOS 11.1 and got the message when my phone restarted,iOS / Software,HIGH,NO,Standard support issue,iOS / Software,YES,Issue remains unresolved after troubleshooting,REVIEWED,Intent confirmed; escalation flag changed from NO to YES.
